Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Tottenham,2021-05-23,Leicester City,eng Premier League,W 4-2,4,2,+2,53,3,0,0,0,431,547,78.8,8,22,9,2,38,7030,2505,198,228,86.8,174,197,88.3,32,65,49.2,18,13,10,5,3,5,14,35.7,9,12,2,10,11,29,16,0,1.5,1.5,-0.4,+1.2,0.4,1.1,+1.5,+1.5,+0.6,0.18,11,0.27,0.75,4,36.4,13.9,0,3.0,0.18,+1.0,660,70,231,255,158,21,660,434,2315,1011,20,16,5,20,15,427,37,Match Report
2,Tottenham,2021-05-19,Aston Villa,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,506,616,82.1,7,29,12,4,39,8062,2735,249,276,90.2,210,236,89.0,27,64,42.2,21,13,15,3,3,6,23,26.1,17,15,7,8,8,29,14,3,0.8,0.8,-0.6,-0.6,0.3,0.6,+0.2,+0.2,-0.3,0.08,10,0.10,0.25,4,40.0,17.6,0,1.3,0.32,+0.3,728,83,253,255,162,28,728,404,2458,1396,21,13,6,10,7,504,39,Match Report
3,Tottenham,2021-05-16,Wolves,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,537,631,85.1,17,35,13,2,45,8622,3069,290,312,92.9,179,202,88.6,47,74,63.5,11,10,1,9,1,3,13,23.1,10,13,5,8,7,18,5,0,3.2,3.2,+2.3,+2.3,1.5,0.9,-1.2,-1.2,-0.5,0.15,24,0.08,0.18,11,45.8,17.3,1,0.3,0.11,+0.3,720,59,187,255,189,29,720,453,2383,1230,23,14,7,8,8,535,45,Match Report
4,Tottenham,2021-05-08,Leeds United,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,330,448,73.7,10,23,4,0,31,5149,2170,176,195,90.3,102,131,77.9,29,76,38.2,15,8,3,11,1,7,15,46.7,8,17,4,13,6,21,16,0,0.9,0.9,-1.6,-1.6,0.8,0.5,+0.1,+0.1,+0.2,0.08,11,0.09,0.33,3,27.3,16.8,1,3.0,0.43,0.0,570,73,178,255,143,19,570,341,1989,970,21,14,7,16,10,324,31,Match Report
5,Tottenham,2021-05-02,Sheffield Utd,eng Premier League,W 4-0,4,0,+4,66,4,0,0,0,673,754,89.3,15,36,9,0,46,9950,3143,375,402,93.3,235,258,91.1,39,56,69.6,11,6,3,5,3,4,15,26.7,11,12,4,8,8,19,14,1,2.2,2.2,+1.7,+1.7,1.6,0.8,+1.8,+1.8,+2.4,0.11,20,0.20,0.40,10,50.0,19.6,2,0.1,0.09,+0.1,854,61,217,255,171,19,854,499,2298,1299,20,16,5,16,4,668,46,Match Report
6,Tottenham,2021-04-21,Southampton,eng Premier League,W 2-1,2,1,+1,62,1,1,1,0,546,658,83.0,6,27,10,2,46,8329,2760,283,313,90.4,200,222,90.1,28,53,52.8,18,10,5,9,4,10,20,50.0,10,19,2,17,8,26,13,0,1.4,0.6,+0.6,-0.2,0.3,0.6,+0.6,+0.4,-0.3,0.06,11,0.09,0.50,2,18.2,19.0,1,0.9,0.18,-0.1,785,56,221,255,165,34,784,438,2144,980,18,17,5,17,12,544,46,Match Report
7,Tottenham,2021-04-16,Everton,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,368,490,75.1,10,20,3,1,24,5972,2369,177,209,84.7,143,174,82.2,27,64,42.2,19,10,5,10,4,9,14,64.3,5,15,3,12,7,26,13,0,1.4,1.4,-0.4,+0.4,0.6,0.2,+0.6,+0.6,-0.6,0.12,12,0.17,0.67,3,25.0,19.3,0,1.7,0.10,-0.3,611,69,200,255,109,13,611,293,1630,782,13,11,3,19,12,364,24,Match Report
8,Tottenham,2021-04-11,Manchester Utd,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,380,486,78.2,9,29,5,0,35,6872,2505,159,186,85.5,166,192,86.5,41,74,55.4,21,13,9,10,2,7,21,33.3,14,16,3,13,11,32,15,0,0.9,0.9,-1.2,-1.2,0.7,0.5,+0.1,+0.1,+0.3,0.07,12,0.08,0.33,3,25.0,16.5,0,1.9,0.28,-1.1,599,61,232,248,124,20,599,281,1820,844,17,9,4,12,8,377,35,Match Report
9,Tottenham,2021-04-04,Newcastle Utd,eng Premier League,D 2-2,2,2,0,58,2,0,0,0,446,555,80.4,5,27,8,2,36,7243,2497,229,260,88.1,186,216,86.1,24,59,40.7,14,8,9,5,0,11,22,50.0,11,17,9,8,14,28,25,1,2.7,2.7,-0.8,-0.8,1.1,0.9,-0.7,-0.7,-0.1,0.24,11,0.18,0.50,4,36.4,16.0,3,3.5,0.67,+1.5,672,74,216,255,107,19,672,326,1839,962,16,14,4,15,7,445,35,Match Report
10,Tottenham,2021-03-21,Aston Villa,eng Premier League,W 2-0,2,0,+2,50,1,1,1,0,356,462,77.1,6,19,11,1,31,5453,2082,198,220,90.0,110,133,82.7,28,62,45.2,18,12,8,7,3,12,21,57.1,9,8,5,3,8,26,26,0,1.8,1.0,+1.4,+0.6,0.9,0.4,+0.2,0.0,+0.1,0.12,8,0.13,0.50,2,25.0,18.8,0,0.1,0.12,+0.1,586,61,192,255,151,22,585,301,1692,762,14,17,4,20,14,355,31,Match Report
