Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Brighton,2021-05-23,Arsenal,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,438,514,85.2,2,22,6,0,23,7590,2594,204,214,95.3,181,199,91.0,37,70,52.9,17,12,10,4,3,10,16,62.5,6,15,4,11,13,30,19,0,0.2,0.2,-0.6,-0.6,0.1,0.3,-0.2,-0.2,-0.1,0.04,5,0.00,0.00,1,20.0,22.6,0,0.9,0.17,-1.1,610,100,255,211,115,9,610,382,1951,981,9,11,1,17,11,437,23,Match Report
2,Brighton,2021-05-18,Manchester City,eng Premier League,W 3-2,3,2,+1,63,3,0,0,0,563,643,87.6,12,44,12,1,51,9626,2950,253,277,91.3,256,272,94.1,45,68,66.2,18,9,5,10,3,5,15,33.3,10,8,2,6,7,25,10,1,1.1,1.1,+0.2,+0.2,0.7,1.2,+1.9,+1.9,+0.3,0.06,19,0.16,0.50,6,31.6,19.7,1,1.6,0.41,-0.4,744,51,175,255,190,37,744,468,2448,1312,26,13,4,17,10,561,51,Match Report
3,Brighton,2021-05-15,West Ham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,521,616,84.6,7,37,6,0,49,9172,2938,236,261,90.4,235,262,89.7,45,77,58.4,9,4,5,4,0,2,16,12.5,14,12,5,7,12,21,21,0,0.8,0.8,-0.9,-0.9,0.6,0.8,+0.2,+0.2,+0.4,0.08,10,0.10,0.50,2,20.0,23.8,0,0.4,0.18,-0.6,708,100,255,255,139,12,708,505,2423,1394,25,15,2,14,5,520,49,Match Report
4,Brighton,2021-05-09,Wolves,eng Premier League,L 1-2,1,2,-1,39,1,0,0,0,327,403,81.1,5,17,11,0,29,5999,2096,147,160,91.9,118,137,86.1,46,71,64.8,15,10,7,7,1,8,20,40.0,12,17,7,10,12,27,28,1,0.3,0.3,-0.8,-0.8,0.3,0.5,+0.7,+0.7,+0.7,0.06,5,0.20,0.33,3,60.0,12.8,0,1.8,0.31,-0.2,525,96,209,182,139,18,525,298,1800,1024,14,16,3,19,8,324,26,Match Report
5,Brighton,2021-05-01,Leeds United,eng Premier League,W 2-0,2,0,+2,42,1,1,1,0,300,378,79.4,13,27,9,2,27,5695,2656,129,147,87.8,117,139,84.2,43,69,62.3,11,6,5,5,1,7,21,33.3,14,14,4,10,11,22,27,0,2.3,1.5,+1.7,+0.9,1.3,0.6,-0.3,-0.5,-1.3,0.09,16,0.06,0.25,4,25.0,18.4,0,0.7,0.36,+0.7,500,69,158,225,122,23,499,315,2031,969,19,19,4,17,8,297,26,Match Report
6,Brighton,2021-04-24,Sheffield Utd,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,592,695,85.2,15,31,12,2,50,10460,2952,247,268,92.2,268,301,89.0,61,90,67.8,10,4,4,5,1,3,12,25.0,9,9,3,6,8,18,12,0,2.0,2.0,+1.3,+1.3,1.9,1.4,-2.0,-2.0,-1.9,0.12,17,0.00,0.00,4,23.5,16.7,0,1.0,0.33,0.0,788,58,236,255,206,27,788,507,2968,1613,35,20,5,16,14,587,50,Match Report
7,Brighton,2021-04-20,Chelsea,eng Premier League,D 0-0,0,0,0,36,0,0,0,0,334,444,75.2,7,21,4,0,25,6063,1853,149,176,84.7,130,157,82.8,44,85,51.8,25,12,11,12,2,12,27,44.4,15,11,1,10,15,40,6,1,0.5,0.5,-0.2,-0.2,0.3,0.3,-0.5,-0.5,-0.3,0.04,11,0.00,0.00,2,18.2,23.6,1,0.4,0.10,+0.4,544,57,212,223,117,13,544,206,1172,671,15,7,3,18,4,331,25,Match Report
8,Brighton,2021-04-12,Everton,eng Premier League,D 0-0,0,0,0,55,0,0,0,0,428,537,79.7,15,37,10,0,44,7990,2683,175,206,85.0,196,225,87.1,52,89,58.4,18,12,7,8,3,4,13,30.8,9,14,1,13,11,29,18,0,1.2,1.2,+0.8,+0.8,0.7,0.8,-1.2,-1.2,-0.7,0.05,23,0.00,0.00,3,13.0,19.0,2,0.2,0.17,+0.2,650,53,198,255,174,34,650,339,1888,947,22,10,5,16,6,422,43,Match Report
9,Brighton,2021-04-04,Manchester Utd,eng Premier League,L 1-2,1,2,-1,43,1,0,0,0,360,482,74.7,3,19,4,1,27,6027,2225,172,195,88.2,154,189,81.5,25,68,36.8,20,8,12,8,0,9,21,42.9,12,13,2,11,19,39,20,1,1.2,1.2,-0.3,-0.3,0.5,0.6,-0.2,-0.2,-0.5,0.30,5,0.20,0.33,3,60.0,10.3,0,1.3,0.18,-0.7,594,88,238,251,109,15,594,253,1482,637,10,10,2,15,9,360,27,Match Report
10,Brighton,2021-03-20,Newcastle Utd,eng Premier League,W 3-0,3,0,+3,65,3,0,0,0,672,763,88.1,10,42,11,3,61,12065,3585,266,288,92.4,340,363,93.7,59,94,62.8,16,8,4,9,3,9,17,52.9,8,8,0,8,10,26,4,0,0.9,0.9,+0.8,+0.8,0.8,0.8,+2.1,+2.1,+2.2,0.08,11,0.27,0.50,6,54.5,15.7,0,0.6,0.57,+0.6,840,47,255,255,155,22,840,536,2568,1241,20,9,5,12,6,662,61,Match Report
