Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Crystal Palace,2023-08-12,Sheffield Utd,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,503,617,81.5,20,36,8,1,42,9305,3509,200,231,86.6,237,269,88.1,54,82,65.9,21,9,7,8,6,9,11,81.8,2,13,3,10,4,25,16,0,1.9,1.9,+1.4,+1.4,1.7,1.3,-0.9,-0.9,-0.7,0.08,24,0.04,0.13,8,33.3,18.5,1,0.0,0.05,0.0,745,49,208,255,176,31,745,472,2432,1306,18,19,5,27,18,497,42,Match Report
2,Crystal Palace,2023-08-21,Arsenal,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,392,471,83.2,10,40,7,1,46,7105,2205,185,200,92.5,163,187,87.2,39,67,58.2,14,10,7,4,3,6,12,50.0,6,7,4,3,5,19,19,0,1.0,1.0,-1.0,-0.2,0.7,0.8,-1.0,-1.0,-0.7,0.07,14,0.00,0.00,2,14.3,16.4,1,1.1,0.03,+0.1,574,63,187,200,192,28,574,317,1538,831,17,10,7,14,5,388,45,Match Report
3,Crystal Palace,2023-08-26,Brentford,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,301,382,78.8,11,18,10,3,26,4674,1770,170,183,92.9,101,121,83.5,22,55,40.0,20,9,8,8,4,11,15,73.3,4,12,6,6,6,26,25,0,0.8,0.8,-0.2,-0.2,0.6,0.4,+0.2,+0.2,+0.4,0.05,15,0.07,0.20,5,33.3,16.9,1,0.6,0.56,-0.4,508,56,165,208,141,20,508,311,1432,718,18,17,4,23,4,298,26,Match Report
4,Crystal Palace,2023-09-03,Wolves,eng Premier League,W 3-2,3,2,+1,43,3,0,0,0,334,431,77.5,12,31,11,3,36,5697,2175,159,179,88.8,139,162,85.8,30,75,40.0,24,13,12,9,3,10,19,52.6,9,6,2,4,10,34,20,0,2.1,2.1,+0.9,+0.9,1.9,1.0,+0.9,+0.9,+1.1,0.13,16,0.19,0.30,10,62.5,13.8,1,0.7,0.18,-1.3,545,59,177,227,147,29,545,305,1332,739,10,5,5,15,16,332,36,Match Report
5,Crystal Palace,2023-09-16,Aston Villa,eng Premier League,L 1-3,1,3,-2,34,1,0,0,0,248,339,73.2,6,18,7,0,27,4166,1812,129,152,84.9,83,96,86.5,25,58,43.1,23,13,8,12,3,9,15,60.0,6,18,6,12,12,35,36,1,1.2,1.2,-1.9,-1.1,1.2,0.8,-0.2,-0.2,-0.2,0.20,6,0.17,0.33,3,50.0,16.1,0,2.5,0.30,-0.5,479,73,167,200,123,19,479,224,1270,716,17,14,4,12,13,244,24,Match Report
6,Crystal Palace,2023-09-23,Fulham,eng Premier League,D 0-0,0,0,0,51,0,0,0,0,411,521,78.9,5,31,6,0,33,7412,2625,182,204,89.2,190,222,85.6,37,74,50.0,14,9,4,5,5,5,12,41.7,7,8,2,6,5,19,24,0,0.3,0.3,-0.3,-0.3,0.2,0.5,-0.3,-0.3,-0.2,0.04,7,0.00,0.00,3,42.9,18.9,1,0.5,0.10,+0.5,620,63,218,255,137,15,620,347,1580,688,12,5,2,14,15,406,33,Match Report
7,Crystal Palace,2023-09-30,Manchester Utd,eng Premier League,W 1-0,1,0,+1,23,1,0,0,0,166,248,66.9,6,16,1,1,17,3163,1718,76,91,83.5,66,90,73.3,20,54,37.0,26,10,20,4,2,8,21,38.1,13,18,8,10,17,43,40,0,0.9,0.9,-0.4,-0.4,0.8,0.5,+0.1,+0.1,-0.8,0.11,8,0.13,0.50,2,25.0,13.5,0,0.3,0.11,+0.3,413,85,218,125,72,8,413,149,811,339,11,4,2,20,22,165,17,Match Report
8,Crystal Palace,2023-10-07,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,483,561,86.1,5,50,6,2,37,9224,2750,165,187,88.2,267,285,93.7,45,74,60.8,18,10,10,3,5,8,17,47.1,9,8,4,4,6,24,21,0,0.8,0.8,-0.2,-0.2,0.7,0.4,-0.8,-0.8,-0.7,0.10,8,0.00,0.00,2,25.0,15.2,0,0.8,0.16,+0.8,664,75,204,255,147,18,664,404,2106,1248,15,10,4,17,16,480,37,Match Report
9,Crystal Palace,2023-10-21,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,41,0,0,0,0,329,427,77.0,11,24,5,1,32,5222,2045,177,196,90.3,123,155,79.4,21,48,43.8,20,11,9,9,2,5,14,35.7,9,7,0,7,11,31,24,1,1.2,1.2,-1.2,-1.2,0.8,0.5,-1.2,-1.2,-0.8,0.07,17,0.00,0.00,3,17.6,17.8,1,3.0,0.43,-1.0,546,53,161,255,107,16,546,297,1321,681,10,13,2,15,4,328,32,Match Report
10,Crystal Palace,2023-10-27,Tottenham,eng Premier League,L 1-2,1,2,-1,25,1,0,0,0,174,264,65.9,10,10,4,2,15,3830,1741,65,83,78.3,76,99,76.8,32,73,43.8,24,14,9,13,2,13,21,61.9,8,15,5,10,10,34,14,0,0.6,0.6,-0.5,-0.5,0.5,0.4,+0.4,+0.4,+0.5,0.05,13,0.08,0.33,3,23.1,17.2,0,0.8,0.78,-0.2,386,50,149,133,105,14,386,132,682,273,10,7,2,11,10,173,15,Match Report
