Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Sheffield Utd,2023-08-12,Crystal Palace,eng Premier League,L 0-1,0,1,-1,32,0,0,0,0,181,297,60.9,5,16,5,1,20,3153,1529,96,124,77.4,52,75,69.3,26,78,33.3,22,11,10,6,6,4,17,23.5,13,23,8,15,11,33,36,0,0.5,0.5,-1.4,-1.4,0.4,0.2,-0.5,-0.5,-0.4,0.06,8,0.00,0.00,1,12.5,19.4,0,1.9,0.24,+0.9,441,64,174,167,106,14,441,177,795,302,5,10,1,11,12,179,20,Match Report
2,Sheffield Utd,2023-08-18,Nott'ham Forest,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,356,487,73.1,2,27,4,1,24,6203,2258,167,200,83.5,140,171,81.9,39,89,43.8,22,15,12,6,4,16,23,69.6,7,12,5,7,17,39,16,0,0.5,0.5,-0.9,-0.9,0.1,0.5,+0.5,+0.5,-0.1,0.07,7,0.14,0.33,3,42.9,18.8,0,2.1,0.51,+0.1,613,65,244,230,142,20,613,296,1305,642,11,9,5,15,5,355,24,Match Report
3,Sheffield Utd,2023-08-27,Manchester City,eng Premier League,L 1-2,1,2,-1,21,1,0,0,0,148,213,69.5,3,12,1,1,5,3000,1745,73,93,78.5,46,59,78.0,27,50,54.0,11,7,7,3,1,6,15,40.0,9,14,7,7,5,16,31,0,0.7,0.7,-2.9,-2.1,0.4,0.6,+0.3,+0.3,-0.4,0.11,6,0.17,1.00,1,16.7,16.1,0,2.5,0.27,+0.5,325,83,177,97,53,13,325,105,656,360,7,3,3,18,5,148,5,Match Report
4,Sheffield Utd,2023-09-02,Everton,eng Premier League,D 2-2,2,2,0,46,1,0,0,0,317,435,72.9,7,21,8,2,27,5283,2492,163,188,86.7,103,128,80.5,36,84,42.9,16,9,9,6,1,9,19,47.4,10,20,6,14,11,27,39,1,1.2,1.2,-1.3,-1.3,0.6,0.5,-0.2,-0.2,+0.4,0.10,13,0.08,0.14,7,53.8,14.1,0,2.8,0.61,+0.8,563,80,255,206,106,26,563,322,1343,583,6,6,2,10,14,314,27,Match Report
5,Sheffield Utd,2023-09-16,Tottenham,eng Premier League,L 1-2,1,2,-1,30,1,0,0,0,202,295,68.5,6,19,4,0,13,4079,2320,97,120,80.8,62,80,77.5,36,71,50.7,22,10,10,10,2,12,26,46.2,14,21,9,12,10,32,38,0,0.7,0.7,-1.5,-1.5,0.6,0.4,+0.3,+0.3,+0.4,0.09,7,0.14,0.20,5,71.4,17.6,0,2.0,0.20,0.0,428,103,208,156,66,10,428,200,868,452,3,2,0,10,12,200,13,Match Report
6,Sheffield Utd,2023-09-24,Newcastle Utd,eng Premier League,L 0-8,0,8,-8,42,0,0,0,0,369,474,77.8,7,15,5,1,32,5963,2016,174,195,89.2,162,184,88.0,21,66,31.8,19,6,12,6,1,4,14,28.6,10,10,3,7,12,31,24,2,0.9,0.9,-2.9,-2.9,0.5,0.4,-0.9,-0.9,-0.5,0.10,9,0.00,0.00,1,11.1,13.7,0,6.8,0.45,-1.2,591,79,224,255,86,12,591,255,1101,550,10,8,4,11,11,367,32,Match Report
7,Sheffield Utd,2023-09-30,West Ham,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,400,493,81.1,12,32,9,3,45,6840,2577,197,216,91.2,155,176,88.1,35,64,54.7,14,10,6,6,2,1,10,10.0,9,16,4,12,1,15,20,0,1.1,1.1,-1.1,-1.1,0.8,0.7,-1.1,-1.1,-0.8,0.07,16,0.00,0.00,2,12.5,15.7,0,2.4,0.31,+0.4,591,71,150,255,153,30,591,302,1977,843,12,12,6,15,12,397,45,Match Report
8,Sheffield Utd,2023-10-07,Fulham,eng Premier League,L 1-3,1,3,-2,40,0,0,0,0,257,382,67.3,4,21,2,0,22,4966,2225,108,134,80.6,103,135,76.3,38,86,44.2,20,13,13,3,4,5,19,26.3,14,21,6,15,11,31,36,1,0.6,0.6,-1.6,-1.6,0.2,0.2,-0.6,-0.6,-0.2,0.11,5,0.00,0.00,2,40.0,16.6,0,1.8,0.31,-0.2,514,91,212,207,101,14,514,182,816,425,4,5,2,15,13,255,22,Match Report
9,Sheffield Utd,2023-10-21,Manchester Utd,eng Premier League,L 1-2,1,2,-1,38,0,1,1,0,244,372,65.6,8,21,9,1,24,4398,1873,119,136,87.5,87,128,68.0,30,85,35.3,14,8,7,5,2,3,12,25.0,9,11,3,8,14,28,24,1,1.4,0.6,+0.3,-0.5,0.6,0.5,-0.4,-0.6,-0.6,0.06,11,0.00,0.00,5,45.5,25.8,0,2.4,0.48,+0.4,496,58,165,196,142,20,495,213,1052,449,11,15,4,22,6,240,24,Match Report
10,Sheffield Utd,2023-10-28,Arsenal,eng Premier League,L 0-5,0,5,-5,33,0,0,0,0,256,345,74.2,2,11,1,0,12,4451,1563,129,151,85.4,98,116,84.5,25,60,41.7,20,13,11,8,1,5,11,45.5,6,12,4,8,8,28,20,1,0.0,0.0,-2.7,-1.9,0.0,0.1,0.0,0.0,0.0,0.02,2,0.00,,0,0.0,39.9,0,4.0,0.44,-1.0,446,74,239,159,52,6,446,217,1035,361,8,4,2,12,4,256,12,Match Report
11,Sheffield Utd,2023-11-04,Wolves,eng Premier League,W 2-1,2,1,+1,39,1,1,1,0,223,342,65.2,7,23,6,3,30,3513,1554,114,144,79.2,77,112,68.8,18,56,32.1,24,11,6,10,8,13,21,61.9,8,16,2,14,5,29,13,0,1.0,0.3,-0.1,-0.9,0.2,0.4,+1.0,+0.7,+0.8,0.03,10,0.10,1.00,1,10.0,27.6,1,1.4,0.47,+0.4,455,40,116,190,154,24,454,207,864,371,9,8,3,19,8,220,28,Match Report
12,Sheffield Utd,2023-11-12,Brighton,eng Premier League,D 1-1,1,1,0,39,0,0,0,0,324,418,77.5,6,15,9,0,28,5256,1855,161,184,87.5,124,144,86.1,28,61,45.9,27,15,7,13,7,15,26,57.7,11,10,1,9,8,35,18,1,1.1,1.1,-0.5,-0.5,0.4,0.6,-1.1,-1.1,-0.4,0.12,9,0.00,0.00,1,11.1,19.3,0,1.2,0.19,+0.2,526,69,172,221,134,24,526,305,1383,634,12,7,2,7,6,323,28,Match Report
