Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Chelsea,2023-08-13,Liverpool,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,645,755,85.4,9,51,13,4,57,10545,3694,331,364,90.9,236,265,89.1,53,75,70.7,13,9,6,5,2,6,16,37.5,10,14,5,9,7,20,18,0,1.4,1.4,+0.1,+0.1,1.3,1.2,-0.4,-0.4,-0.3,0.14,10,0.10,0.25,4,40.0,13.2,1,0.8,0.80,-0.2,862,57,234,255,232,32,862,631,2843,1360,22,18,6,25,14,640,57,Match Report
2,Chelsea,2023-08-20,West Ham,eng Premier League,L 1-3,1,3,-2,75,1,0,1,1,661,773,85.5,11,44,13,5,57,9656,2808,391,424,92.2,219,249,88.0,31,51,60.8,16,11,5,8,3,3,8,37.5,5,8,3,5,3,19,13,1,2.5,1.7,+0.7,+0.7,1.4,1.5,-1.5,-0.7,-1.4,0.11,16,0.06,0.33,3,18.8,17.1,0,2.7,0.28,-0.3,872,53,181,255,255,49,871,587,3247,1842,37,33,14,12,8,657,57,Match Report
3,Chelsea,2023-08-25,Luton Town,eng Premier League,W 3-0,3,0,+3,67,3,0,0,0,621,684,90.8,14,33,12,0,42,10405,3382,290,307,94.5,265,283,93.6,47,67,70.1,10,6,7,1,2,4,11,36.4,7,12,5,7,9,19,11,0,2.2,2.2,+1.8,+1.8,1.6,1.7,+0.8,+0.8,+0.4,0.12,19,0.16,0.38,8,42.1,14.2,1,0.1,0.07,+0.1,789,81,255,255,170,37,789,488,2140,1140,24,12,8,19,11,619,42,Match Report
4,Chelsea,2023-09-02,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,75,0,0,0,0,668,787,84.9,13,70,18,3,70,9506,3187,395,426,92.7,224,257,87.2,25,55,45.5,16,7,6,9,1,7,12,58.3,5,5,0,5,6,22,11,0,2.3,2.3,+1.5,+1.5,1.4,1.8,-2.3,-2.3,-1.4,0.11,21,0.00,0.00,2,9.5,17.7,2,0.9,0.32,-0.1,907,49,164,255,255,43,907,644,3429,1836,31,23,10,19,14,662,70,Match Report
5,Chelsea,2023-09-17,Bournemouth,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,542,633,85.6,8,39,12,0,52,9279,3294,242,271,89.3,248,278,89.2,40,56,71.4,9,5,6,2,1,4,16,25.0,12,12,6,6,5,14,16,1,1.8,1.8,+0.8,+0.8,0.7,1.2,-1.8,-1.8,-0.7,0.14,14,0.00,0.00,6,42.9,15.0,1,0.9,0.23,+0.9,733,97,255,255,186,31,733,539,2641,1488,32,17,9,21,6,531,51,Match Report
6,Chelsea,2023-09-24,Aston Villa,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,405,492,82.3,9,35,12,0,36,7066,2766,182,196,92.9,160,183,87.4,46,66,69.7,23,15,7,10,6,12,20,60.0,8,12,5,7,4,27,29,0,1.3,1.3,+0.3,+0.3,1.3,0.6,-1.3,-1.3,-1.3,0.13,10,0.00,0.00,4,40.0,17.8,0,1.7,0.24,+0.7,609,68,222,255,142,29,609,416,2225,1069,26,13,7,17,9,403,35,Match Report
7,Chelsea,2023-10-02,Fulham,eng Premier League,W 2-0,2,0,+2,44,2,0,0,0,416,493,84.4,5,23,5,1,26,6986,2734,203,225,90.2,166,186,89.2,34,51,66.7,24,11,11,9,4,6,9,66.7,3,13,3,10,8,32,28,0,1.7,1.7,+0.6,+0.6,1.0,0.9,+0.3,+0.3,0.0,0.16,11,0.18,0.50,4,36.4,19.8,1,1.0,0.33,+1.0,612,99,255,248,100,21,612,410,1710,949,26,8,7,16,9,412,26,Match Report
8,Chelsea,2023-10-07,Burnley,eng Premier League,W 4-1,4,1,+3,62,2,1,1,0,632,698,90.5,8,42,9,1,37,11288,3062,256,273,93.8,306,321,95.3,56,80,70.0,22,13,6,6,10,12,20,60.0,8,10,4,6,9,31,10,0,1.9,1.1,+1.1,+0.3,1.1,0.8,+1.1,+0.9,+0.9,0.13,8,0.25,0.50,4,50.0,18.1,0,0.4,0.13,-0.6,799,79,255,255,146,27,798,485,1792,802,12,5,7,18,10,628,36,Match Report
9,Chelsea,2023-10-21,Arsenal,eng Premier League,D 2-2,2,2,0,44,1,1,1,0,386,475,81.3,8,17,5,1,20,6517,2003,187,206,90.8,155,173,89.6,32,69,46.4,17,10,16,1,0,9,15,60.0,6,11,5,6,9,26,18,1,1.3,0.6,+0.3,-0.4,0.4,0.7,+0.7,+0.4,+0.6,0.06,10,0.10,0.25,4,40.0,20.4,0,0.8,0.27,-1.2,580,67,255,228,93,24,579,343,1461,730,17,6,6,16,12,382,20,Match Report
10,Chelsea,2023-10-28,Brentford,eng Premier League,L 0-2,0,2,-2,69,0,0,0,0,686,785,87.4,13,78,15,2,70,11096,3218,366,390,93.8,267,297,89.9,44,72,61.1,11,8,5,2,4,6,16,37.5,10,6,1,5,13,24,13,0,1.9,1.9,-0.3,-0.3,1.8,1.6,-1.9,-1.9,-1.8,0.12,17,0.00,0.00,2,11.8,16.1,1,1.4,0.28,-0.6,882,44,155,255,255,41,882,586,2754,1538,29,28,9,13,13,682,70,Match Report
