Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Newcastle Utd,2023-08-12,Aston Villa,eng Premier League,W 5-1,5,1,+4,52,5,0,0,0,452,536,84.3,14,30,8,2,32,7568,2644,228,244,93.4,190,217,87.6,30,59,50.8,16,9,9,6,1,3,14,21.4,11,12,3,9,7,23,15,0,3.3,3.3,+1.6,+1.6,3.3,2.1,+1.7,+1.7,+0.7,0.20,17,0.29,0.42,12,70.6,13.2,0,1.8,0.31,+0.8,646,61,237,255,143,32,646,459,1949,899,16,9,8,13,8,451,32,Match Report
2,Newcastle Utd,2023-08-19,Manchester City,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,432,505,85.5,7,27,7,1,27,7509,2503,202,222,91.0,175,192,91.1,48,69,69.6,10,4,3,6,1,5,19,26.3,14,11,7,4,7,17,11,0,0.3,0.3,-0.7,-0.7,0.3,0.3,-0.3,-0.3,-0.3,0.04,7,0.00,0.00,1,14.3,20.3,0,1.3,0.34,+0.3,582,75,229,255,94,18,582,411,1930,805,18,8,5,15,7,429,27,Match Report
3,Newcastle Utd,2023-08-27,Liverpool,eng Premier League,L 1-2,1,2,-1,59,1,0,0,0,533,623,85.6,14,33,8,2,44,8665,2655,265,291,91.1,222,243,91.4,34,62,54.8,19,12,10,6,3,11,21,52.4,10,8,2,6,5,24,15,1,2.0,2.0,+1.1,+1.1,1.0,0.6,-1.0,-1.0,-1.0,0.09,23,0.04,0.13,8,34.8,18.3,1,1.8,0.44,-0.2,721,55,209,255,167,29,721,467,2209,1303,29,20,8,9,7,530,43,Match Report
4,Newcastle Utd,2023-09-02,Brighton,eng Premier League,L 1-3,1,3,-2,44,1,0,0,0,391,469,83.4,9,21,6,0,33,7222,2307,149,161,92.5,187,210,89.0,47,76,61.8,18,9,11,6,1,9,19,47.4,10,11,4,7,3,21,14,1,1.2,1.2,-0.1,-0.1,1.2,0.6,-0.2,-0.2,-0.2,0.14,9,0.11,0.50,2,22.2,14.6,0,1.5,0.29,-1.5,564,66,210,255,96,20,564,345,1792,775,17,13,8,11,5,388,33,Match Report
5,Newcastle Utd,2023-09-16,Brentford,eng Premier League,W 1-0,1,0,+1,56,0,1,1,0,396,523,75.7,6,27,12,2,37,6530,2575,191,226,84.5,150,189,79.4,38,74,51.4,12,9,7,3,2,4,14,28.6,10,9,5,4,6,18,20,0,1.4,0.6,+0.9,+0.1,0.6,0.7,-0.4,-0.6,-0.6,0.08,8,0.00,0.00,1,12.5,20.2,0,0.6,0.32,+0.6,627,60,198,246,188,27,626,286,1399,693,21,16,4,12,19,392,37,Match Report
6,Newcastle Utd,2023-09-24,Sheffield Utd,eng Premier League,W 8-0,8,0,+8,58,8,0,0,0,549,642,85.5,17,32,14,2,54,8855,3215,297,333,89.2,196,218,89.9,42,62,67.7,19,14,7,9,3,8,18,44.4,10,14,4,10,7,26,8,0,3.9,3.9,+2.9,+2.9,2.9,1.9,+4.1,+4.1,+3.1,0.18,22,0.36,0.53,15,68.2,14.2,0,0.2,0.21,+0.2,762,47,213,255,185,42,762,507,2576,1097,25,17,9,19,15,546,54,Match Report
7,Newcastle Utd,2023-09-30,Burnley,eng Premier League,W 2-0,2,0,+2,53,1,1,1,0,441,553,79.7,15,25,10,2,40,7709,2407,195,222,87.8,202,240,84.2,39,68,57.4,21,14,7,11,3,12,21,57.1,9,17,5,12,4,25,10,1,3.2,2.4,+2.5,+1.7,1.5,1.4,-1.2,-1.4,-0.5,0.14,19,0.05,0.17,6,31.6,15.8,0,0.4,0.18,+0.4,670,47,231,255,156,30,669,283,1749,674,12,10,7,16,6,439,40,Match Report
8,Newcastle Utd,2023-10-08,West Ham,eng Premier League,D 2-2,2,2,0,64,2,0,0,0,553,645,85.7,8,40,9,2,43,9526,2842,267,290,92.1,244,272,89.7,38,66,57.6,8,6,3,4,1,3,9,33.3,6,12,0,12,3,11,19,0,2.0,2.0,+0.8,+0.8,1.3,0.8,0.0,0.0,-0.3,0.20,10,0.20,0.67,3,30.0,12.1,0,1.3,0.44,-0.7,719,48,224,255,148,21,719,420,2539,1431,26,14,6,11,8,549,43,Match Report
9,Newcastle Utd,2023-10-21,Crystal Palace,eng Premier League,W 4-0,4,0,+4,59,4,0,0,0,521,612,85.1,6,34,12,3,55,9204,3102,222,250,88.8,239,270,88.5,47,64,73.4,8,5,2,6,0,4,12,33.3,8,18,4,14,7,15,16,0,2.4,2.4,+1.2,+1.2,1.3,1.1,+1.6,+1.6,+1.7,0.24,10,0.40,0.57,7,70.0,10.2,0,1.0,0.33,+1.0,708,59,183,255,145,22,708,469,2144,1046,13,15,3,18,15,519,54,Match Report
10,Newcastle Utd,2023-10-28,Wolves,eng Premier League,D 2-2,2,2,0,57,1,1,1,0,480,567,84.7,7,21,6,2,36,7947,2572,223,244,91.4,212,242,87.6,31,60,51.7,16,12,8,6,2,7,29,24.1,22,10,3,7,10,26,20,1,2.2,1.4,+1.3,+0.5,0.4,1.0,-0.2,-0.4,-0.4,0.14,12,0.08,0.33,3,25.0,14.2,0,1.3,0.21,-0.7,667,61,203,255,150,24,666,391,2197,965,21,20,9,12,19,474,36,Match Report
11,Newcastle Utd,2023-11-04,Arsenal,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,295,378,78.0,9,17,7,2,27,5002,1889,145,156,92.9,106,126,84.1,32,65,49.2,18,11,10,7,1,8,15,53.3,7,13,8,5,7,25,26,0,1.0,1.0,+0.4,+0.4,1.2,0.8,0.0,0.0,-0.2,0.14,9,0.11,1.00,1,11.1,18.6,0,0.1,0.15,+0.1,494,70,186,207,106,16,494,304,1458,575,7,12,2,17,9,292,26,Match Report
12,Newcastle Utd,2023-11-11,Bournemouth,eng Premier League,L 0-2,0,2,-2,52,0,0,0,0,396,500,79.2,4,23,4,0,36,6654,2424,188,218,86.2,168,195,86.2,32,62,51.6,23,16,14,9,0,15,26,57.7,11,14,3,11,6,29,15,0,0.5,0.5,-1.9,-1.9,0.2,0.2,-0.5,-0.5,-0.2,0.06,8,0.00,0.00,5,62.5,19.5,0,2.6,0.29,+0.6,616,63,255,232,134,19,616,273,1493,756,14,11,5,14,14,389,36,Match Report
13,Newcastle Utd,2023-11-25,Chelsea,eng Premier League,W 4-1,4,1,+3,54,4,0,0,0,439,523,83.9,10,34,9,2,43,7294,2336,229,245,93.5,162,188,86.2,38,67,56.7,20,10,10,7,3,8,17,47.1,9,8,0,8,9,29,3,1,2.4,2.4,+1.8,+1.8,1.5,1.4,+1.6,+1.6,+1.5,0.17,14,0.29,0.80,5,35.7,17.0,1,1.1,0.29,+0.1,622,32,143,255,197,30,622,327,2085,954,21,13,7,12,16,437,43,Match Report
