Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Crystal Palace,2020-07-26,Tottenham,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,334,1808,946,19,13,4,12,18,374,33,Match Report
2,Norwich City,2020-07-26,Manchester City,eng Premier League,L 0-5,0,5,-5,27,0,0,0,0,187,924,475,8,3,4,10,10,209,12,Match Report
3,Newcastle Utd,2020-07-26,Liverpool,eng Premier League,L 1-3,1,3,-2,26,1,0,0,0,214,990,467,5,3,2,11,9,192,7,Match Report
4,Liverpool,2020-07-26,Newcastle Utd,eng Premier League,W 3-1,3,1,+2,74,3,0,0,0,780,3141,1400,21,28,6,19,6,739,59,Match Report
5,Watford,2020-07-26,Arsenal,eng Premier League,L 2-3,2,3,-1,50,1,1,1,0,304,1965,1036,22,18,6,19,9,368,42,Match Report
6,Chelsea,2020-07-26,Wolves,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,501,2303,1093,17,21,1,21,15,549,39,Match Report
7,Tottenham,2020-07-26,Crystal Palace,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,449,1809,962,14,17,1,17,13,426,29,Match Report
8,Sheffield Utd,2020-07-26,Southampton,eng Premier League,L 1-3,1,3,-2,28,1,0,0,0,146,829,302,6,3,4,8,6,176,18,Match Report
9,West Ham,2020-07-26,Aston Villa,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,420,1896,772,12,9,2,13,7,422,42,Match Report
10,Wolves,2020-07-26,Chelsea,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,232,1249,504,9,8,2,18,15,277,29,Match Report
11,Leicester City,2020-07-26,Manchester Utd,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,408,1648,738,13,11,3,16,13,375,28,Match Report
12,Arsenal,2020-07-26,Watford,eng Premier League,W 3-2,3,2,+1,50,2,1,1,0,381,2187,1238,24,14,4,13,1,384,38,Match Report
13,Everton,2020-07-26,Bournemouth,eng Premier League,L 1-3,1,3,-2,69,1,0,0,0,495,2531,1351,19,14,3,16,9,630,56,Match Report
14,Southampton,2020-07-26,Sheffield Utd,eng Premier League,W 3-1,3,1,+2,72,2,1,1,0,520,3464,1983,39,27,5,10,6,607,50,Match Report
15,Manchester Utd,2020-07-26,Leicester City,eng Premier League,W 2-0,2,0,+2,54,1,1,1,0,488,2364,1203,19,14,2,15,16,443,34,Match Report
16,Burnley,2020-07-26,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,261,1141,572,16,9,2,15,6,324,37,Match Report
17,Aston Villa,2020-07-26,West Ham,eng Premier League,D 1-1,1,1,0,38,1,0,0,0,193,1165,484,11,9,2,12,9,212,18,Match Report
18,Manchester City,2020-07-26,Norwich City,eng Premier League,W 5-0,5,0,+5,73,5,0,0,0,591,3293,2066,41,31,20,13,9,689,105,Match Report
19,Brighton,2020-07-26,Burnley,eng Premier League,W 2-1,2,1,+1,45,2,0,0,0,288,1583,665,18,8,6,17,14,278,29,Match Report
20,Bournemouth,2020-07-26,Everton,eng Premier League,W 3-1,3,1,+2,31,2,1,1,0,200,1117,566,18,9,4,13,16,214,24,Match Report
21,Chelsea,2020-07-22,Liverpool,eng Premier League,L 3-5,3,5,-2,50,3,0,0,0,518,2222,1065,16,13,2,18,11,504,43,Match Report
22,Liverpool,2020-07-22,Chelsea,eng Premier League,W 5-3,5,3,+2,50,5,0,0,0,410,1893,857,11,14,3,22,8,491,24,Match Report
23,West Ham,2020-07-22,Manchester Utd,eng Premier League,D 1-1,1,1,0,43,0,1,1,0,319,1788,765,19,9,4,7,9,369,39,Match Report
24,Manchester Utd,2020-07-22,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,419,2502,1437,26,22,7,17,7,537,65,Match Report
25,Watford,2020-07-21,Manchester City,eng Premier League,L 0-4,0,4,-4,24,0,0,0,0,169,797,259,4,0,1,17,15,164,8,Match Report
26,Arsenal,2020-07-21,Aston Villa,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,527,2851,1591,25,18,4,10,12,563,59,Match Report
27,Aston Villa,2020-07-21,Arsenal,eng Premier League,W 1-0,1,0,+1,31,1,0,0,0,182,1153,639,19,10,3,13,3,214,19,Match Report
28,Manchester City,2020-07-21,Watford,eng Premier League,W 4-0,4,0,+4,76,4,0,1,1,652,3066,1841,31,28,12,9,8,699,91,Match Report
29,Crystal Palace,2020-07-20,Wolves,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,308,1507,762,10,11,2,16,12,349,22,Match Report
30,Brighton,2020-07-20,Newcastle Utd,eng Premier League,D 0-0,0,0,0,61,0,0,0,0,431,2327,1094,16,9,4,15,13,491,41,Match Report
31,Wolves,2020-07-20,Crystal Palace,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,306,1702,834,21,10,5,13,6,399,31,Match Report
32,Everton,2020-07-20,Sheffield Utd,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,320,1634,788,12,3,3,19,8,400,20,Match Report
33,Sheffield Utd,2020-07-20,Everton,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,311,1494,690,9,9,0,13,5,398,45,Match Report
34,Newcastle Utd,2020-07-20,Brighton,eng Premier League,D 0-0,0,0,0,39,0,0,0,0,243,1245,564,11,11,4,7,9,266,25,Match Report
35,Leicester City,2020-07-19,Tottenham,eng Premier League,L 0-3,0,3,-3,70,0,0,0,0,509,2817,1497,29,28,7,17,12,658,54,Match Report
36,Bournemouth,2020-07-19,Southampton,eng Premier League,L 0-2,0,2,-2,44,0,0,0,0,191,861,412,8,9,1,14,17,194,40,Match Report
37,Tottenham,2020-07-19,Leicester City,eng Premier League,W 3-0,3,0,+3,30,2,0,0,0,246,1283,639,16,10,3,10,5,221,16,Match Report
38,Southampton,2020-07-19,Bournemouth,eng Premier League,W 2-0,2,0,+2,56,2,0,1,1,264,1412,706,21,7,7,8,11,305,33,Match Report
39,Norwich City,2020-07-18,Burnley,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,296,1576,689,10,8,2,12,7,286,11,Match Report
40,Burnley,2020-07-18,Norwich City,eng Premier League,W 2-0,2,0,+2,58,1,0,0,0,415,1740,916,21,27,2,7,5,434,57,Match Report
41,West Ham,2020-07-17,Watford,eng Premier League,W 3-1,3,1,+2,41,3,0,0,0,222,1323,605,14,15,2,15,11,204,26,Match Report
42,Watford,2020-07-17,West Ham,eng Premier League,L 1-3,1,3,-2,59,1,0,0,0,400,1992,997,17,17,4,15,8,368,57,Match Report
43,Brighton,2020-07-16,Southampton,eng Premier League,D 1-1,1,1,0,33,1,0,0,0,179,980,450,9,4,2,22,10,184,23,Match Report
