Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
45,Burnley,2019-04-28,Manchester City,eng Premier League,L 0-1,0,1,-1,31,0,0,0,0,4,2,1,0,0,1,0,Match Report
46,Chelsea,2019-04-28,Manchester Utd,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,29,23,2,1,1,2,0,Match Report
47,Newcastle Utd,2019-04-27,Brighton,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,15,10,2,1,0,0,2,Match Report
48,Watford,2019-04-27,Wolves,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,16,13,2,0,1,0,0,Match Report
49,Crystal Palace,2019-04-27,Everton,eng Premier League,D 0-0,0,0,0,37,0,0,0,0,13,4,4,2,1,2,0,Match Report
50,Tottenham,2019-04-27,West Ham,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,26,23,0,2,0,1,0,Match Report
51,Fulham,2019-04-27,Cardiff City,eng Premier League,W 1-0,1,0,+1,71,1,0,0,0,14,11,0,3,0,0,0,Match Report
52,Southampton,2019-04-27,Bournemouth,eng Premier League,D 3-3,3,3,0,44,3,0,0,0,35,22,2,1,4,2,4,Match Report
53,Everton,2019-04-27,Crystal Palace,eng Premier League,D 0-0,0,0,0,63,0,0,0,0,32,23,4,1,3,1,0,Match Report
54,West Ham,2019-04-27,Tottenham,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,28,21,2,2,2,1,0,Match Report
55,Bournemouth,2019-04-27,Southampton,eng Premier League,D 3-3,3,3,0,56,3,0,0,0,16,11,3,0,1,0,1,Match Report
56,Cardiff City,2019-04-27,Fulham,eng Premier League,L 0-1,0,1,-1,29,0,0,0,0,23,14,4,1,3,1,0,Match Report
57,Wolves,2019-04-27,Watford,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,20,13,3,2,0,1,1,Match Report
58,Brighton,2019-04-27,Newcastle Utd,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,18,12,3,2,0,1,0,Match Report
59,Liverpool,2019-04-26,Huddersfield,eng Premier League,W 5-0,5,0,+5,69,5,0,0,0,35,29,1,4,0,1,0,Match Report
60,Huddersfield,2019-04-26,Liverpool,eng Premier League,L 0-5,0,5,-5,31,0,0,0,0,9,7,1,1,0,0,0,Match Report
61,Manchester City,2019-04-24,Manchester Utd,eng Premier League,W 2-0,2,0,+2,63,2,0,0,0,16,12,0,4,0,0,0,Match Report
62,Arsenal,2019-04-24,Wolves,eng Premier League,L 1-3,1,3,-2,70,1,0,0,0,19,12,2,4,0,1,0,Match Report
63,Wolves,2019-04-24,Arsenal,eng Premier League,W 3-1,3,1,+2,30,3,0,0,0,21,12,4,2,1,2,0,Match Report
64,Manchester Utd,2019-04-24,Manchester City,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,20,18,0,0,1,1,0,Match Report
65,Southampton,2019-04-23,Watford,eng Premier League,D 1-1,1,1,0,38,1,0,0,0,12,10,0,0,0,1,1,Match Report
66,Tottenham,2019-04-23,Brighton,eng Premier League,W 1-0,1,0,+1,77,1,0,0,0,52,37,3,3,3,5,1,Match Report
67,Watford,2019-04-23,Southampton,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,23,20,0,1,2,0,0,Match Report
68,Brighton,2019-04-23,Tottenham,eng Premier League,L 0-1,0,1,-1,23,0,0,0,0,11,5,3,2,0,1,0,Match Report
69,Burnley,2019-04-22,Chelsea,eng Premier League,D 2-2,2,2,0,25,2,0,0,0,8,5,1,0,2,0,0,Match Report
70,Chelsea,2019-04-22,Burnley,eng Premier League,D 2-2,2,2,0,75,2,0,0,0,36,32,0,1,2,0,1,Match Report
71,Liverpool,2019-04-21,Cardiff City,eng Premier League,W 2-0,2,0,+2,75,1,1,1,0,32,22,3,3,0,3,1,Match Report
72,Manchester Utd,2019-04-21,Everton,eng Premier League,L 0-4,0,4,-4,52,0,0,0,0,13,10,1,0,0,1,1,Match Report
73,Everton,2019-04-21,Manchester Utd,eng Premier League,W 4-0,4,0,+4,48,4,0,0,0,26,19,4,0,2,1,0,Match Report
74,Arsenal,2019-04-21,Crystal Palace,eng Premier League,L 2-3,2,3,-1,72,2,0,0,0,21,17,2,1,1,0,0,Match Report
75,Cardiff City,2019-04-21,Liverpool,eng Premier League,L 0-2,0,2,-2,25,0,0,0,0,12,9,1,1,1,0,0,Match Report
76,Crystal Palace,2019-04-21,Arsenal,eng Premier League,W 3-2,3,2,+1,28,3,0,0,0,27,12,7,0,5,2,1,Match Report
77,Leicester City,2019-04-20,West Ham,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,21,16,2,2,0,1,0,Match Report
78,Southampton,2019-04-20,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,56,1,0,0,0,27,17,4,4,1,1,0,Match Report
79,Wolves,2019-04-20,Brighton,eng Premier League,D 0-0,0,0,0,68,0,0,0,0,40,29,3,1,5,2,0,Match Report
80,Fulham,2019-04-20,Bournemouth,eng Premier League,W 1-0,1,0,+1,51,0,1,1,0,32,19,5,3,4,1,0,Match Report
81,Huddersfield,2019-04-20,Watford,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,21,14,1,1,3,1,1,Match Report
82,West Ham,2019-04-20,Leicester City,eng Premier League,D 2-2,2,2,0,49,2,0,0,0,20,16,2,0,1,0,1,Match Report
83,Tottenham,2019-04-20,Manchester City,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,17,15,1,0,1,0,0,Match Report
84,Bournemouth,2019-04-20,Fulham,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,22,14,2,1,3,2,0,Match Report
85,Brighton,2019-04-20,Wolves,eng Premier League,D 0-0,0,0,0,32,0,0,0,0,7,5,1,1,0,0,0,Match Report
