Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
1,Liverpool,2019-05-12,Wolves,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,752,54,180,255,135,18,752,Match Report
2,Wolves,2019-05-12,Liverpool,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,562,62,198,255,88,22,562,Match Report
3,Arsenal,2019-05-12,Burnley,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,683,74,255,255,170,36,683,Match Report
4,Tottenham,2019-05-12,Everton,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,702,67,230,255,145,17,702,Match Report
5,Burnley,2019-05-12,Arsenal,eng Premier League,L 1-3,1,3,-2,40,1,0,0,0,501,67,135,245,130,30,501,Match Report
6,Watford,2019-05-12,West Ham,eng Premier League,L 1-4,1,4,-3,49,1,0,0,0,551,47,114,255,157,37,551,Match Report
7,Southampton,2019-05-12,Huddersfield,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,617,45,138,255,149,20,617,Match Report
8,Manchester Utd,2019-05-12,Cardiff City,eng Premier League,L 0-2,0,2,-2,73,0,0,0,0,774,54,162,255,255,34,774,Match Report
9,Chelsea,2019-05-12,Leicester City,eng Premier League,D 0-0,0,0,0,53,0,0,0,0,669,59,170,255,211,20,669,Match Report
10,Crystal Palace,2019-05-12,Bournemouth,eng Premier League,W 5-3,5,3,+2,46,4,0,0,0,593,67,186,255,154,35,593,Match Report
11,Bournemouth,2019-05-12,Crystal Palace,eng Premier League,L 3-5,3,5,-2,54,3,0,0,0,678,56,197,255,189,25,678,Match Report
12,Manchester City,2019-05-12,Brighton,eng Premier League,W 4-1,4,1,+3,75,4,0,0,0,920,31,114,255,255,48,920,Match Report
13,Everton,2019-05-12,Tottenham,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,599,79,216,251,136,26,599,Match Report
14,Leicester City,2019-05-12,Chelsea,eng Premier League,D 0-0,0,0,0,47,0,0,0,0,603,81,255,227,120,15,603,Match Report
15,Newcastle Utd,2019-05-12,Fulham,eng Premier League,W 4-0,4,0,+4,33,4,0,0,0,509,77,235,198,78,18,509,Match Report
16,Huddersfield,2019-05-12,Southampton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,543,63,207,225,116,7,543,Match Report
17,West Ham,2019-05-12,Watford,eng Premier League,W 4-1,4,1,+3,51,3,1,1,0,621,68,148,255,131,16,620,Match Report
18,Fulham,2019-05-12,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,67,0,0,0,0,901,54,170,255,226,35,901,Match Report
19,Brighton,2019-05-12,Manchester City,eng Premier League,L 1-4,1,4,-3,25,1,0,0,0,368,89,182,149,42,4,368,Match Report
20,Cardiff City,2019-05-12,Manchester Utd,eng Premier League,W 2-0,2,0,+2,27,1,1,1,0,371,87,170,117,95,21,370,Match Report
21,Manchester City,2019-05-06,Leicester City,eng Premier League,W 1-0,1,0,+1,61,1,0,0,0,786,27,103,255,255,39,786,Match Report
22,Leicester City,2019-05-06,Manchester City,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,573,111,255,211,61,5,573,Match Report
23,Brighton,2019-05-05,Arsenal,eng Premier League,D 1-1,1,1,0,30,0,1,1,0,428,91,205,142,83,25,427,Match Report
24,Manchester Utd,2019-05-05,Huddersfield,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,771,47,187,255,196,33,771,Match Report
25,Arsenal,2019-05-05,Brighton,eng Premier League,D 1-1,1,1,0,70,0,1,1,0,741,49,138,255,255,37,740,Match Report
26,Watford,2019-05-05,Chelsea,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,534,65,172,208,162,32,534,Match Report
27,Huddersfield,2019-05-05,Manchester Utd,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,476,68,173,191,118,13,476,Match Report
28,Chelsea,2019-05-05,Watford,eng Premier League,W 3-0,3,0,+3,58,3,0,0,0,701,69,200,255,226,37,701,Match Report
29,Fulham,2019-05-04,Wolves,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,740,73,220,255,79,9,740,Match Report
30,Newcastle Utd,2019-05-04,Liverpool,eng Premier League,L 2-3,2,3,-1,31,2,0,0,0,444,51,166,183,100,19,444,Match Report
31,Southampton,2019-05-04,West Ham,eng Premier League,L 0-3,0,3,-3,44,0,0,0,0,548,46,122,255,143,23,548,Match Report
32,Crystal Palace,2019-05-04,Cardiff City,eng Premier League,W 3-2,3,2,+1,60,3,0,0,0,640,57,182,255,134,41,640,Match Report
33,Tottenham,2019-05-04,Bournemouth,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,558,67,171,255,128,16,558,Match Report
34,Cardiff City,2019-05-04,Crystal Palace,eng Premier League,L 2-3,2,3,-1,40,1,0,0,0,460,63,131,192,141,33,460,Match Report
35,Wolves,2019-05-04,Fulham,eng Premier League,W 1-0,1,0,+1,40,1,0,0,0,518,27,120,246,161,24,518,Match Report
36,Bournemouth,2019-05-04,Tottenham,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,615,63,156,255,209,34,615,Match Report
37,Liverpool,2019-05-04,Newcastle Utd,eng Premier League,W 3-2,3,2,+1,69,3,0,0,0,817,43,177,255,142,25,817,Match Report
38,West Ham,2019-05-04,Southampton,eng Premier League,W 3-0,3,0,+3,56,3,0,0,0,676,62,203,255,166,25,676,Match Report
39,Burnley,2019-05-03,Everton,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,525,77,183,217,131,15,525,Match Report
40,Everton,2019-05-03,Burnley,eng Premier League,W 2-0,2,0,+2,59,1,0,0,0,733,50,198,255,198,29,733,Match Report
41,Manchester City,2019-04-28,Burnley,eng Premier League,W 1-0,1,0,+1,69,1,0,0,0,781,51,173,255,239,39,781,Match Report
42,Leicester City,2019-04-28,Arsenal,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,776,52,206,255,211,40,776,Match Report
43,Arsenal,2019-04-28,Leicester City,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,451,71,190,187,83,16,451,Match Report
44,Manchester Utd,2019-04-28,Chelsea,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,615,59,154,255,173,24,615,Match Report
45,Burnley,2019-04-28,Manchester City,eng Premier League,L 0-1,0,1,-1,31,0,0,0,0,404,87,171,153,82,8,404,Match Report
46,Chelsea,2019-04-28,Manchester Utd,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,580,65,191,201,193,25,580,Match Report
47,Newcastle Utd,2019-04-27,Brighton,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,634,49,188,255,123,16,634,Match Report
48,Watford,2019-04-27,Wolves,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,672,61,193,255,148,21,672,Match Report
49,Crystal Palace,2019-04-27,Everton,eng Premier League,D 0-0,0,0,0,37,0,0,0,0,510,91,212,197,107,12,510,Match Report
50,Tottenham,2019-04-27,West Ham,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,799,68,226,255,193,26,799,Match Report
51,Fulham,2019-04-27,Cardiff City,eng Premier League,W 1-0,1,0,+1,71,1,0,0,0,781,68,242,255,138,18,781,Match Report
52,Southampton,2019-04-27,Bournemouth,eng Premier League,D 3-3,3,3,0,44,3,0,0,0,547,38,96,255,172,32,547,Match Report
53,Everton,2019-04-27,Crystal Palace,eng Premier League,D 0-0,0,0,0,63,0,0,0,0,754,53,182,255,230,40,754,Match Report
54,West Ham,2019-04-27,Tottenham,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,547,61,169,250,136,17,547,Match Report
55,Bournemouth,2019-04-27,Southampton,eng Premier League,D 3-3,3,3,0,56,3,0,0,0,624,78,255,251,112,17,624,Match Report
56,Cardiff City,2019-04-27,Fulham,eng Premier League,L 0-1,0,1,-1,29,0,0,0,0,389,49,131,151,113,20,389,Match Report
57,Wolves,2019-04-27,Watford,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,557,63,160,253,153,22,557,Match Report
58,Brighton,2019-04-27,Newcastle Utd,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,621,52,149,255,167,16,621,Match Report
59,Liverpool,2019-04-26,Huddersfield,eng Premier League,W 5-0,5,0,+5,69,5,0,0,0,888,69,255,255,160,24,888,Match Report
60,Huddersfield,2019-04-26,Liverpool,eng Premier League,L 0-5,0,5,-5,31,0,0,0,0,450,54,164,199,91,10,450,Match Report
61,Manchester City,2019-04-24,Manchester Utd,eng Premier League,W 2-0,2,0,+2,63,2,0,0,0,827,76,237,255,182,30,827,Match Report
62,Arsenal,2019-04-24,Wolves,eng Premier League,L 1-3,1,3,-2,70,1,0,0,0,804,24,113,255,255,21,804,Match Report
63,Wolves,2019-04-24,Arsenal,eng Premier League,W 3-1,3,1,+2,30,3,0,0,0,419,58,172,168,83,12,419,Match Report
64,Manchester Utd,2019-04-24,Manchester City,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,535,57,180,244,117,13,535,Match Report
65,Southampton,2019-04-23,Watford,eng Premier League,D 1-1,1,1,0,38,1,0,0,0,526,62,179,233,121,14,526,Match Report
66,Tottenham,2019-04-23,Brighton,eng Premier League,W 1-0,1,0,+1,77,1,0,0,0,869,31,108,255,255,36,869,Match Report
67,Watford,2019-04-23,Southampton,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,758,56,222,255,194,33,758,Match Report
68,Brighton,2019-04-23,Tottenham,eng Premier League,L 0-1,0,1,-1,23,0,0,0,0,355,101,196,107,56,7,355,Match Report
69,Burnley,2019-04-22,Chelsea,eng Premier League,D 2-2,2,2,0,25,2,0,0,0,397,112,214,132,54,7,397,Match Report
