Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
45,West Brom,2018-05-05,Tottenham,eng Premier League,W 1-0,1,0,+1,26,1,0,0,0,377,89,199,125,55,14,377,Match Report
46,Bournemouth,2018-05-05,Swansea City,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,548,59,202,220,138,25,548,Match Report
47,Watford,2018-05-05,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,39,2,0,1,1,535,57,173,255,97,14,534,Match Report
48,Crystal Palace,2018-05-05,Stoke City,eng Premier League,W 2-1,2,1,+1,59,2,0,0,0,564,43,173,254,142,25,564,Match Report
49,Tottenham,2018-05-05,West Brom,eng Premier League,L 0-1,0,1,-1,74,0,0,0,0,785,40,141,255,255,35,785,Match Report
50,Southampton,2018-05-05,Everton,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,502,39,150,251,108,10,502,Match Report
51,Brighton,2018-05-04,Manchester Utd,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,446,70,158,200,100,20,446,Match Report
52,Manchester Utd,2018-05-04,Brighton,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,828,54,202,255,235,18,828,Match Report
53,Watford,2018-04-30,Tottenham,eng Premier League,L 0-2,0,2,-2,39,0,0,0,0,506,66,146,255,102,21,506,Match Report
54,Tottenham,2018-04-30,Watford,eng Premier League,W 2-0,2,0,+2,61,2,0,0,0,721,54,183,255,161,25,721,Match Report
55,Manchester City,2018-04-29,West Ham,eng Premier League,W 4-1,4,1,+3,74,3,0,0,0,1015,35,161,255,255,37,1015,Match Report
56,Arsenal,2018-04-29,Manchester Utd,eng Premier League,L 1-2,1,2,-1,41,1,0,0,0,593,82,230,255,89,14,593,Match Report
57,Manchester Utd,2018-04-29,Arsenal,eng Premier League,W 2-1,2,1,+1,59,2,0,0,0,767,40,184,255,239,32,767,Match Report
