Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
395,Bournemouth,2023-01-14,Brentford,eng Premier League,L 0-2,0,2,-2,50,0,0,0,0,375,1901,869,16,17,3,20,9,358,28,Match Report
396,West Ham,2023-01-14,Wolves,eng Premier League,L 0-1,0,1,-1,42,0,0,0,0,274,1378,618,14,15,4,18,8,311,44,Match Report
397,Liverpool,2023-01-14,Brighton,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,299,1619,624,6,3,5,19,11,368,28,Match Report
398,Wolves,2023-01-14,West Ham,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,453,2500,1308,25,15,6,13,7,488,38,Match Report
399,Leicester City,2023-01-14,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,61,0,0,0,0,316,1800,985,10,11,0,16,10,486,34,Match Report
400,Brentford,2023-01-14,Bournemouth,eng Premier League,W 2-0,2,0,+2,50,1,1,1,0,323,1534,692,15,10,0,16,10,340,35,Match Report
401,Brighton,2023-01-14,Liverpool,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,507,2523,1336,34,24,12,10,14,597,53,Match Report
402,Everton,2023-01-14,Southampton,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,274,1223,608,12,8,4,15,10,307,31,Match Report
403,Nott'ham Forest,2023-01-14,Leicester City,eng Premier League,W 2-0,2,0,+2,39,2,0,0,0,250,1459,831,16,18,2,15,9,280,27,Match Report
404,Manchester City,2023-01-14,Manchester Utd,eng Premier League,L 1-2,1,2,-1,70,1,0,0,0,563,3775,2133,38,24,3,8,9,666,41,Match Report
405,Leeds United,2023-01-13,Aston Villa,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,283,1472,705,20,6,8,21,14,285,37,Match Report
406,Aston Villa,2023-01-13,Leeds United,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,309,1730,780,14,11,4,16,17,332,21,Match Report
407,Chelsea,2023-01-12,Fulham,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,364,1593,842,16,6,4,16,6,430,33,Match Report
408,Fulham,2023-01-12,Chelsea,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,284,1309,652,14,14,1,19,12,393,40,Match Report
409,Chelsea,2023-01-05,Manchester City,eng Premier League,L 0-1,0,1,-1,48,0,0,0,0,488,2192,1022,20,16,2,13,12,494,23,Match Report
410,Manchester City,2023-01-05,Chelsea,eng Premier League,W 1-0,1,0,+1,52,1,0,0,0,467,1839,1040,9,19,4,15,20,562,63,Match Report
411,Southampton,2023-01-04,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,63,0,0,0,0,389,2208,1092,20,15,2,18,20,395,41,Match Report
412,Tottenham,2023-01-04,Crystal Palace,eng Premier League,W 4-0,4,0,+4,53,4,0,0,0,493,2118,1100,18,12,1,16,11,496,40,Match Report
413,Crystal Palace,2023-01-04,Tottenham,eng Premier League,L 0-4,0,4,-4,47,0,0,0,0,321,1553,771,12,11,8,21,12,404,41,Match Report
414,Leeds United,2023-01-04,West Ham,eng Premier League,D 2-2,2,2,0,62,2,0,0,0,361,1617,730,15,9,5,20,14,409,36,Match Report
415,West Ham,2023-01-04,Leeds United,eng Premier League,D 2-2,2,2,0,38,1,1,1,0,188,831,299,12,7,3,14,10,194,18,Match Report
416,Aston Villa,2023-01-04,Wolves,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,412,2226,1154,22,14,7,11,17,447,49,Match Report
417,Wolves,2023-01-04,Aston Villa,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,295,1964,913,15,9,5,13,7,343,23,Match Report
418,Nott'ham Forest,2023-01-04,Southampton,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,191,1077,479,13,9,3,22,9,191,14,Match Report
419,Arsenal,2023-01-03,Newcastle Utd,eng Premier League,D 0-0,0,0,0,66,0,0,0,0,378,2158,1126,21,11,9,10,13,472,54,Match Report
420,Manchester Utd,2023-01-03,Bournemouth,eng Premier League,W 3-0,3,0,+3,58,3,0,0,0,434,1995,1157,17,17,8,8,12,511,48,Match Report
421,Bournemouth,2023-01-03,Manchester Utd,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,326,1695,917,17,9,3,10,2,337,24,Match Report
422,Leicester City,2023-01-03,Fulham,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,402,2099,1040,22,12,2,13,9,483,43,Match Report
423,Newcastle Utd,2023-01-03,Arsenal,eng Premier League,D 0-0,0,0,0,34,0,0,0,0,196,1178,591,13,8,3,9,7,198,21,Match Report
424,Brighton,2023-01-03,Everton,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,351,2021,1297,28,15,13,13,10,464,46,Match Report
425,Everton,2023-01-03,Brighton,eng Premier League,L 1-4,1,4,-3,49,0,1,1,0,375,1703,840,14,5,5,12,6,441,21,Match Report
426,Fulham,2023-01-03,Leicester City,eng Premier League,W 1-0,1,0,+1,39,1,0,0,0,296,1556,829,19,15,5,12,10,289,19,Match Report
427,Liverpool,2023-01-02,Brentford,eng Premier League,L 1-3,1,3,-2,72,1,0,0,0,506,2976,1445,27,31,2,21,12,578,54,Match Report
428,Brentford,2023-01-02,Liverpool,eng Premier League,W 3-1,3,1,+2,28,2,0,0,0,157,677,278,2,2,1,16,7,133,16,Match Report
429,Tottenham,2023-01-01,Aston Villa,eng Premier League,L 0-2,0,2,-2,59,0,0,0,0,503,2528,1315,24,24,3,16,14,520,45,Match Report
430,Aston Villa,2023-01-01,Tottenham,eng Premier League,W 2-0,2,0,+2,41,2,0,0,0,351,1913,827,12,10,5,12,9,345,18,Match Report
431,Chelsea,2023-01-01,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,71,1,0,0,0,621,3138,1771,20,18,1,17,7,648,36,Match Report
432,Nott'ham Forest,2023-01-01,Chelsea,eng Premier League,D 1-1,1,1,0,29,1,0,0,0,201,1230,616,16,12,6,14,8,212,19,Match Report
433,Arsenal,2022-12-31,Brighton,eng Premier League,W 4-2,4,2,+2,32,4,0,0,0,223,1128,572,16,8,9,14,3,223,29,Match Report
434,Manchester Utd,2022-12-31,Wolves,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,383,1799,1001,16,20,7,17,4,416,51,Match Report
435,Southampton,2022-12-31,Fulham,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,181,984,471,8,6,2,19,13,249,22,Match Report
436,Crystal Palace,2022-12-31,Bournemouth,eng Premier League,W 2-0,2,0,+2,41,2,0,0,0,240,968,339,8,5,4,23,8,244,27,Match Report
437,Bournemouth,2022-12-31,Crystal Palace,eng Premier League,L 0-2,0,2,-2,59,0,0,0,0,299,1746,959,8,6,0,16,18,388,30,Match Report
438,Leeds United,2022-12-31,Newcastle Utd,eng Premier League,D 0-0,0,0,0,40,0,0,0,0,241,924,439,8,8,4,18,6,210,22,Match Report
439,Wolves,2022-12-31,Manchester Utd,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,237,1565,839,14,14,2,16,6,329,25,Match Report
440,Newcastle Utd,2022-12-31,Leeds United,eng Premier League,D 0-0,0,0,0,60,0,0,0,0,327,1750,850,20,14,5,16,11,360,39,Match Report
441,Brighton,2022-12-31,Arsenal,eng Premier League,L 2-4,2,4,-2,68,2,0,0,0,450,2737,1589,27,12,6,13,16,554,51,Match Report
442,Everton,2022-12-31,Manchester City,eng Premier League,D 1-1,1,1,0,26,1,0,0,0,217,1074,499,8,5,1,15,9,196,16,Match Report
443,Fulham,2022-12-31,Southampton,eng Premier League,W 2-1,2,1,+1,62,1,0,1,1,420,2159,1119,8,13,1,18,14,492,42,Match Report
444,Manchester City,2022-12-31,Everton,eng Premier League,D 1-1,1,1,0,74,1,0,0,0,532,2844,1487,33,21,8,11,7,628,71,Match Report
445,West Ham,2022-12-30,Brentford,eng Premier League,L 0-2,0,2,-2,63,0,0,0,0,348,2473,1351,33,26,3,11,7,530,54,Match Report
446,Liverpool,2022-12-30,Leicester City,eng Premier League,W 2-1,2,1,+1,57,0,0,0,0,384,2169,1197,25,13,4,10,8,516,54,Match Report
447,Leicester City,2022-12-30,Liverpool,eng Premier League,L 1-2,1,2,-1,43,1,0,0,0,319,1407,676,11,10,3,18,6,375,21,Match Report
448,Brentford,2022-12-30,West Ham,eng Premier League,W 2-0,2,0,+2,37,2,0,0,0,214,1137,460,6,5,2,15,7,278,23,Match Report
449,Leeds United,2022-12-28,Manchester City,eng Premier League,L 1-3,1,3,-2,31,1,0,0,0,202,975,438,7,6,3,17,7,245,32,Match Report
450,Manchester City,2022-12-28,Leeds United,eng Premier League,W 3-1,3,1,+2,69,3,0,0,0,529,2738,1411,21,19,6,13,10,637,52,Match Report
451,Manchester Utd,2022-12-27,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,65,3,0,0,0,519,2296,1402,26,15,4,16,5,564,56,Match Report
452,Bournemouth,2022-12-27,Chelsea,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,283,1340,702,13,11,1,22,12,309,28,Match Report
453,Chelsea,2022-12-27,Bournemouth,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,383,1965,978,25,15,9,14,8,512,38,Match Report
454,Nott'ham Forest,2022-12-27,Manchester Utd,eng Premier League,L 0-3,0,3,-3,35,0,0,0,0,217,1116,508,10,6,3,17,13,244,17,Match Report
455,Arsenal,2022-12-26,West Ham,eng Premier League,W 3-1,3,1,+2,66,3,0,0,0,523,2901,1588,23,18,4,12,7,605,78,Match Report
456,Southampton,2022-12-26,Brighton,eng Premier League,L 1-3,1,3,-2,34,1,0,1,1,231,1283,703,12,13,2,10,6,285,22,Match Report
457,Tottenham,2022-12-26,Brentford,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,437,2440,1317,24,20,3,25,12,445,52,Match Report
458,Crystal Palace,2022-12-26,Fulham,eng Premier League,L 0-3,0,3,-3,36,0,0,0,0,250,1158,526,4,6,4,18,11,292,16,Match Report
459,West Ham,2022-12-26,Arsenal,eng Premier League,L 1-3,1,3,-2,34,0,1,1,0,220,1120,451,11,8,5,8,8,264,18,Match Report
460,Liverpool,2022-12-26,Aston Villa,eng Premier League,W 3-1,3,1,+2,52,3,0,0,0,352,1580,842,16,13,9,16,4,445,32,Match Report
461,Aston Villa,2022-12-26,Liverpool,eng Premier League,L 1-3,1,3,-2,48,1,0,0,0,405,1882,858,14,12,5,15,9,402,44,Match Report
462,Wolves,2022-12-26,Everton,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,265,1219,641,9,7,2,20,9,305,28,Match Report
463,Leicester City,2022-12-26,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,60,0,0,0,0,446,1812,898,19,9,10,26,2,502,44,Match Report
464,Newcastle Utd,2022-12-26,Leicester City,eng Premier League,W 3-0,3,0,+3,40,2,1,1,0,233,1269,599,6,8,2,19,13,316,19,Match Report
465,Brentford,2022-12-26,Tottenham,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,209,897,361,5,8,0,12,11,225,15,Match Report
466,Brighton,2022-12-26,Southampton,eng Premier League,W 3-1,3,1,+2,66,2,0,0,0,620,2790,1292,15,13,5,12,7,617,46,Match Report
467,Everton,2022-12-26,Wolves,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,372,2371,1137,18,15,1,20,10,467,40,Match Report
468,Fulham,2022-12-26,Crystal Palace,eng Premier League,W 3-0,3,0,+3,64,3,0,0,0,462,2707,1525,32,20,5,14,12,565,73,Match Report
469,Manchester Utd,2022-11-13,Fulham,eng Premier League,W 2-1,2,1,+1,47,2,0,0,0,288,1502,775,15,11,7,16,6,356,30,Match Report
470,Aston Villa,2022-11-13,Brighton,eng Premier League,W 2-1,2,1,+1,35,1,1,1,0,258,1030,416,12,5,4,18,9,228,15,Match Report
471,Brighton,2022-11-13,Aston Villa,eng Premier League,L 1-2,1,2,-1,65,1,0,0,0,433,1726,1003,15,7,2,14,13,479,40,Match Report
472,Fulham,2022-11-13,Manchester Utd,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,389,2464,1331,28,22,7,19,6,396,36,Match Report
473,Arsenal,2022-11-12,Wolves,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,486,2800,1482,20,16,5,16,6,533,49,Match Report
474,Southampton,2022-11-12,Liverpool,eng Premier League,L 1-3,1,3,-2,40,1,0,0,0,314,1594,676,11,11,2,20,9,381,40,Match Report
475,Tottenham,2022-11-12,Leeds United,eng Premier League,W 4-3,4,3,+1,55,4,0,0,0,382,1825,940,26,8,9,9,8,473,48,Match Report
476,Crystal Palace,2022-11-12,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,68,0,0,1,1,440,2098,1199,18,13,5,19,15,577,52,Match Report
477,Bournemouth,2022-11-12,Everton,eng Premier League,W 3-0,3,0,+3,36,3,0,0,0,221,1242,603,14,12,6,18,19,240,27,Match Report
478,Leeds United,2022-11-12,Tottenham,eng Premier League,L 3-4,3,4,-1,45,3,0,0,0,322,1317,636,16,7,6,19,7,386,26,Match Report
479,West Ham,2022-11-12,Leicester City,eng Premier League,L 0-2,0,2,-2,54,0,0,0,0,420,1947,933,14,7,5,14,7,406,54,Match Report
480,Liverpool,2022-11-12,Southampton,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,478,2116,1035,15,10,5,19,12,607,47,Match Report
481,Wolves,2022-11-12,Arsenal,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,261,1725,803,24,19,3,10,5,292,26,Match Report
482,Leicester City,2022-11-12,West Ham,eng Premier League,W 2-0,2,0,+2,46,2,0,1,1,301,1704,913,19,9,2,13,9,355,27,Match Report
483,Newcastle Utd,2022-11-12,Chelsea,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,307,1562,834,17,12,4,16,12,403,41,Match Report
484,Brentford,2022-11-12,Manchester City,eng Premier League,W 2-1,2,1,+1,26,2,0,0,0,129,932,465,9,6,3,13,4,134,17,Match Report
485,Chelsea,2022-11-12,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,373,1649,837,15,9,2,16,15,421,33,Match Report
486,Everton,2022-11-12,Bournemouth,eng Premier League,L 0-3,0,3,-3,64,0,0,0,0,421,2251,1091,20,22,3,21,6,484,40,Match Report
487,Nott'ham Forest,2022-11-12,Crystal Palace,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,225,1349,686,14,7,1,5,8,220,18,Match Report
488,Manchester City,2022-11-12,Brentford,eng Premier League,L 1-2,1,2,-1,74,1,0,0,0,524,3170,2159,48,44,9,9,5,555,67,Match Report
489,Arsenal,2022-11-06,Chelsea,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,308,1958,1023,25,9,9,20,17,379,46,Match Report
490,Manchester Utd,2022-11-06,Aston Villa,eng Premier League,L 1-3,1,3,-2,58,0,0,0,0,435,2081,992,15,14,7,12,7,491,53,Match Report
491,Southampton,2022-11-06,Newcastle Utd,eng Premier League,L 1-4,1,4,-3,55,1,0,0,0,344,2104,1088,30,16,9,9,7,381,53,Match Report
492,Tottenham,2022-11-06,Liverpool,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,366,2170,1185,22,20,4,21,9,453,56,Match Report
493,Crystal Palace,2022-11-06,West Ham,eng Premier League,W 2-1,2,1,+1,58,2,0,0,0,498,2162,1195,22,15,9,19,9,535,44,Match Report
494,West Ham,2022-11-06,Crystal Palace,eng Premier League,L 1-2,1,2,-1,42,1,0,0,0,334,1788,869,11,6,1,16,5,360,27,Match Report
495,Liverpool,2022-11-06,Tottenham,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,454,2019,931,17,13,7,17,6,532,29,Match Report
496,Aston Villa,2022-11-06,Manchester Utd,eng Premier League,W 3-1,3,1,+2,42,3,0,0,0,329,1774,931,20,9,6,17,9,344,21,Match Report
497,Newcastle Utd,2022-11-06,Southampton,eng Premier League,W 4-1,4,1,+3,45,4,0,0,0,221,1096,576,10,7,2,9,11,289,29,Match Report
498,Chelsea,2022-11-06,Arsenal,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,304,1152,527,6,2,1,16,10,282,17,Match Report
499,Bournemouth,2022-11-05,Leeds United,eng Premier League,L 3-4,3,4,-1,40,3,0,0,0,241,1205,601,9,9,3,15,15,233,18,Match Report
500,Leeds United,2022-11-05,Bournemouth,eng Premier League,W 4-3,4,3,+1,60,3,1,1,0,383,1794,925,15,16,5,20,8,388,56,Match Report
501,Wolves,2022-11-05,Brighton,eng Premier League,L 2-3,2,3,-1,29,1,1,1,0,176,1205,625,10,7,6,8,7,202,24,Match Report
502,Leicester City,2022-11-05,Everton,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,398,2280,1245,25,10,8,12,9,468,45,Match Report
503,Brentford,2022-11-05,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,52,1,1,1,0,376,1915,993,14,7,2,11,13,389,32,Match Report
504,Brighton,2022-11-05,Wolves,eng Premier League,W 3-2,3,2,+1,71,3,0,0,0,614,3014,1614,29,12,7,10,10,615,61,Match Report
505,Everton,2022-11-05,Leicester City,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,343,1839,917,18,12,4,21,7,419,27,Match Report
506,Nott'ham Forest,2022-11-05,Brentford,eng Premier League,D 2-2,2,2,0,48,1,0,0,0,315,1526,774,18,15,3,17,10,344,37,Match Report
507,Fulham,2022-11-05,Manchester City,eng Premier League,L 1-2,1,2,-1,30,0,1,1,0,237,1323,691,12,7,2,13,4,250,17,Match Report
508,Manchester City,2022-11-05,Fulham,eng Premier League,W 2-1,2,1,+1,70,1,1,1,0,616,3578,1847,28,20,6,17,3,670,45,Match Report
509,Arsenal,2022-10-30,Nott'ham Forest,eng Premier League,W 5-0,5,0,+5,69,5,0,0,0,427,2592,1578,38,21,12,13,19,574,55,Match Report
510,Manchester Utd,2022-10-30,West Ham,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,301,1698,1009,13,10,4,10,8,421,29,Match Report
511,West Ham,2022-10-30,Manchester Utd,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,337,1699,854,20,15,3,10,7,363,42,Match Report
512,Nott'ham Forest,2022-10-30,Arsenal,eng Premier League,L 0-5,0,5,-5,31,0,0,0,0,180,765,390,7,6,3,15,6,226,14,Match Report
513,Southampton,2022-10-29,Crystal Palace,eng Premier League,L 0-1,0,1,-1,56,0,0,0,0,429,2038,1035,21,13,6,20,12,431,49,Match Report
514,Tottenham,2022-10-29,Bournemouth,eng Premier League,W 3-2,3,2,+1,69,3,0,0,0,500,2907,1663,32,23,3,10,13,589,79,Match Report
515,Crystal Palace,2022-10-29,Southampton,eng Premier League,W 1-0,1,0,+1,44,1,0,0,0,299,1576,874,18,8,9,11,12,309,44,Match Report
516,Bournemouth,2022-10-29,Tottenham,eng Premier League,L 2-3,2,3,-1,31,2,0,0,0,256,1216,526,10,7,3,13,9,241,19,Match Report
517,Leeds United,2022-10-29,Liverpool,eng Premier League,W 2-1,2,1,+1,32,2,0,0,0,196,1103,564,16,8,5,12,9,221,31,Match Report
518,Liverpool,2022-10-29,Leeds United,eng Premier League,L 1-2,1,2,-1,68,1,0,0,0,459,2345,1192,20,8,7,22,12,583,76,Match Report
519,Aston Villa,2022-10-29,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,41,0,0,0,0,242,1350,610,14,6,5,15,7,277,17,Match Report
520,Wolves,2022-10-29,Brentford,eng Premier League,D 1-1,1,1,0,42,1,0,0,0,217,1327,754,20,14,6,22,4,245,31,Match Report
521,Leicester City,2022-10-29,Manchester City,eng Premier League,L 0-1,0,1,-1,36,0,0,0,0,240,1204,610,9,2,5,13,4,332,21,Match Report
522,Newcastle Utd,2022-10-29,Aston Villa,eng Premier League,W 4-0,4,0,+4,59,3,1,1,0,430,2052,1111,22,16,5,8,12,441,53,Match Report
523,Brentford,2022-10-29,Wolves,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,321,1608,817,17,9,5,17,12,357,30,Match Report
524,Chelsea,2022-10-29,Brighton,eng Premier League,L 1-4,1,4,-3,59,1,0,0,0,398,2211,1076,21,15,4,18,9,469,42,Match Report
525,Brighton,2022-10-29,Chelsea,eng Premier League,W 4-1,4,1,+3,41,2,0,0,0,242,1240,669,14,7,6,15,5,295,22,Match Report
526,Everton,2022-10-29,Fulham,eng Premier League,D 0-0,0,0,0,44,0,0,0,0,241,1349,741,15,7,5,9,9,319,21,Match Report
527,Fulham,2022-10-29,Everton,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,296,1990,1338,35,17,11,17,10,420,32,Match Report
528,Manchester City,2022-10-29,Leicester City,eng Premier League,W 1-0,1,0,+1,64,1,0,0,0,456,2959,1818,25,30,5,11,6,647,63,Match Report
529,Bournemouth,2022-10-24,West Ham,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,318,1780,823,14,12,3,19,15,372,28,Match Report
530,West Ham,2022-10-24,Bournemouth,eng Premier League,W 2-0,2,0,+2,55,1,1,1,0,396,1839,793,13,15,2,16,16,452,47,Match Report
531,Arsenal,2022-10-23,Southampton,eng Premier League,D 1-1,1,1,0,59,1,0,0,0,428,2026,1101,15,5,7,15,13,491,61,Match Report
532,Southampton,2022-10-23,Arsenal,eng Premier League,D 1-1,1,1,0,41,1,0,0,0,281,1383,747,15,12,2,17,12,298,25,Match Report
533,Tottenham,2022-10-23,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,348,1912,1085,18,12,3,14,8,393,43,Match Report
534,Leeds United,2022-10-23,Fulham,eng Premier League,L 2-3,2,3,-1,57,2,0,0,0,413,1783,808,12,5,3,21,8,418,54,Match Report
535,Aston Villa,2022-10-23,Brentford,eng Premier League,W 4-0,4,0,+4,45,3,1,1,0,274,1283,604,12,12,3,13,13,265,31,Match Report
536,Wolves,2022-10-23,Leicester City,eng Premier League,L 0-4,0,4,-4,60,0,0,0,0,377,2277,1224,24,14,4,20,12,489,40,Match Report
537,Leicester City,2022-10-23,Wolves,eng Premier League,W 4-0,4,0,+4,40,4,0,0,0,175,1070,631,13,8,5,7,8,280,24,Match Report
538,Newcastle Utd,2022-10-23,Tottenham,eng Premier League,W 2-1,2,1,+1,47,2,0,0,0,346,1497,646,13,11,4,18,10,361,33,Match Report
539,Brentford,2022-10-23,Aston Villa,eng Premier League,L 0-4,0,4,-4,55,0,0,0,0,291,1514,715,15,12,1,11,10,328,41,Match Report
540,Fulham,2022-10-23,Leeds United,eng Premier League,W 3-2,3,2,+1,43,3,0,0,0,272,1412,746,15,12,3,12,14,281,24,Match Report
541,Manchester Utd,2022-10-22,Chelsea,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,392,1953,985,20,14,7,15,3,387,43,Match Report
542,Crystal Palace,2022-10-22,Everton,eng Premier League,L 0-3,0,3,-3,54,0,0,0,0,395,1796,869,13,8,3,20,18,414,25,Match Report
543,Liverpool,2022-10-22,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,75,0,0,0,0,561,2658,1534,16,20,1,17,15,637,77,Match Report
544,Chelsea,2022-10-22,Manchester Utd,eng Premier League,D 1-1,1,1,0,48,0,1,1,0,320,1668,812,17,15,5,14,5,341,37,Match Report
545,Brighton,2022-10-22,Manchester City,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,340,1266,531,9,9,4,12,7,423,36,Match Report
546,Everton,2022-10-22,Crystal Palace,eng Premier League,W 3-0,3,0,+3,46,3,0,0,0,269,1507,722,13,16,4,19,15,340,18,Match Report
547,Nott'ham Forest,2022-10-22,Liverpool,eng Premier League,W 1-0,1,0,+1,25,1,0,0,0,174,966,518,9,5,3,17,9,154,11,Match Report
548,Manchester City,2022-10-22,Brighton,eng Premier League,W 3-1,3,1,+2,48,2,1,1,0,324,1772,854,13,13,3,8,11,372,38,Match Report
549,Leeds United,2022-10-20,Leicester City,eng Premier League,L 0-2,0,2,-2,54,0,0,0,0,365,1796,854,15,7,6,11,14,441,33,Match Report
550,Aston Villa,2022-10-20,Fulham,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,257,1179,521,11,9,2,17,6,262,19,Match Report
551,Leicester City,2022-10-20,Leeds United,eng Premier League,W 2-0,2,0,+2,46,1,0,0,0,307,1224,462,6,6,5,19,17,379,30,Match Report
552,Fulham,2022-10-20,Aston Villa,eng Premier League,W 3-0,3,0,+3,60,1,1,1,0,337,1900,1156,22,15,1,13,6,436,43,Match Report
553,Manchester Utd,2022-10-19,Tottenham,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,425,1895,988,26,17,9,17,6,518,37,Match Report
554,Southampton,2022-10-19,Bournemouth,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,291,1579,781,15,12,4,19,7,395,18,Match Report
555,Tottenham,2022-10-19,Manchester Utd,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,374,2023,1051,18,13,6,17,12,468,34,Match Report
556,Bournemouth,2022-10-19,Southampton,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,377,2039,1087,18,18,5,20,14,466,49,Match Report
557,West Ham,2022-10-19,Liverpool,eng Premier League,L 0-1,0,1,-1,46,0,0,1,1,344,1602,675,8,7,3,14,9,437,34,Match Report
558,Liverpool,2022-10-19,West Ham,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,426,2110,1087,23,17,4,18,9,534,52,Match Report
559,Newcastle Utd,2022-10-19,Everton,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,312,1684,948,21,11,6,16,11,332,36,Match Report
560,Brentford,2022-10-19,Chelsea,eng Premier League,D 0-0,0,0,0,34,0,0,0,0,241,1030,510,9,5,0,13,8,250,29,Match Report
561,Chelsea,2022-10-19,Brentford,eng Premier League,D 0-0,0,0,0,66,0,0,0,0,415,2354,1374,27,25,8,13,4,585,55,Match Report
562,Everton,2022-10-19,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,261,1394,589,8,11,2,18,11,347,22,Match Report
563,Crystal Palace,2022-10-18,Wolves,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,326,1711,840,17,13,6,18,21,391,48,Match Report
564,Wolves,2022-10-18,Crystal Palace,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,308,1794,930,15,15,2,15,17,358,40,Match Report
565,Brighton,2022-10-18,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,70,0,0,0,0,487,2180,1027,18,14,4,16,5,571,51,Match Report
566,Nott'ham Forest,2022-10-18,Brighton,eng Premier League,D 0-0,0,0,0,30,0,0,0,0,202,1084,487,7,4,2,14,6,201,10,Match Report
567,Arsenal,2022-10-16,Leeds United,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,365,1857,946,16,11,4,16,11,434,41,Match Report
568,Manchester Utd,2022-10-16,Newcastle Utd,eng Premier League,D 0-0,0,0,0,63,0,0,0,0,391,2049,1072,24,13,11,14,7,435,42,Match Report
569,Southampton,2022-10-16,West Ham,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,235,1040,516,9,10,4,15,15,249,19,Match Report
570,Leeds United,2022-10-16,Arsenal,eng Premier League,L 0-1,0,1,-1,47,0,0,1,1,372,1781,847,18,10,6,10,8,358,36,Match Report
571,West Ham,2022-10-16,Southampton,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,317,1900,929,22,17,4,15,10,417,54,Match Report
572,Liverpool,2022-10-16,Manchester City,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,295,1484,709,12,8,9,18,15,330,36,Match Report
573,Aston Villa,2022-10-16,Chelsea,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,310,1539,783,17,13,5,23,7,319,38,Match Report
