Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
1,Manchester City,2023-05-28,Brentford,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,31,26,0,1,4,0,0,Match Report
2,Arsenal,2023-05-28,Wolves,eng Premier League,W 5-0,5,0,+5,51,5,0,0,0,25,20,0,2,1,1,1,Match Report
3,Aston Villa,2023-05-28,Brighton,eng Premier League,W 2-1,2,1,+1,41,2,0,0,0,24,14,2,2,0,5,1,Match Report
4,Wolves,2023-05-28,Arsenal,eng Premier League,L 0-5,0,5,-5,49,0,0,0,0,12,7,2,0,0,3,0,Match Report
5,Liverpool,2023-05-28,Southampton,eng Premier League,D 4-4,4,4,0,69,4,0,0,0,51,44,0,5,2,0,0,Match Report
6,Manchester Utd,2023-05-28,Fulham,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,39,35,2,0,1,1,0,Match Report
7,Fulham,2023-05-28,Manchester Utd,eng Premier League,L 1-2,1,2,-1,47,1,0,1,1,19,13,3,0,0,2,1,Match Report
8,West Ham,2023-05-28,Leicester City,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,31,29,1,0,1,0,0,Match Report
9,Leicester City,2023-05-28,West Ham,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,25,20,1,2,1,1,0,Match Report
10,Nott'ham Forest,2023-05-28,Crystal Palace,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,11,8,1,1,1,0,0,Match Report
11,Southampton,2023-05-28,Liverpool,eng Premier League,D 4-4,4,4,0,31,4,0,0,0,25,13,2,3,3,1,3,Match Report
12,Leeds United,2023-05-28,Tottenham,eng Premier League,L 1-4,1,4,-3,52,1,0,0,0,32,24,4,0,3,0,1,Match Report
13,Newcastle Utd,2023-05-28,Chelsea,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,24,22,0,1,1,0,0,Match Report
14,Everton,2023-05-28,Bournemouth,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,24,21,1,1,0,1,0,Match Report
15,Tottenham,2023-05-28,Leeds United,eng Premier League,W 4-1,4,1,+3,48,4,0,0,0,21,17,1,2,0,1,0,Match Report
16,Bournemouth,2023-05-28,Everton,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,12,8,1,1,2,0,0,Match Report
17,Brighton,2023-05-28,Aston Villa,eng Premier League,L 1-2,1,2,-1,59,1,0,0,0,15,13,1,1,0,0,0,Match Report
18,Crystal Palace,2023-05-28,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,29,18,4,2,1,4,0,Match Report
19,Brentford,2023-05-28,Manchester City,eng Premier League,W 1-0,1,0,+1,35,1,0,0,0,16,9,4,0,2,0,1,Match Report
20,Chelsea,2023-05-28,Newcastle Utd,eng Premier League,D 1-1,1,1,0,64,0,0,0,0,43,30,4,3,4,1,1,Match Report
21,Manchester Utd,2023-05-25,Chelsea,eng Premier League,W 4-1,4,1,+3,42,3,1,1,0,30,23,1,3,1,2,0,Match Report
22,Chelsea,2023-05-25,Manchester Utd,eng Premier League,L 1-4,1,4,-3,58,1,0,0,0,25,23,0,1,1,0,0,Match Report
23,Manchester City,2023-05-24,Brighton,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,25,22,1,1,0,1,0,Match Report
24,Brighton,2023-05-24,Manchester City,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,34,22,2,2,5,2,1,Match Report
25,Leicester City,2023-05-22,Newcastle Utd,eng Premier League,D 0-0,0,0,0,23,0,0,0,0,2,2,0,0,0,0,0,Match Report
26,Newcastle Utd,2023-05-22,Leicester City,eng Premier League,D 0-0,0,0,0,77,0,0,0,0,39,31,2,2,4,0,0,Match Report
27,Manchester City,2023-05-21,Chelsea,eng Premier League,W 1-0,1,0,+1,64,1,0,0,0,26,19,1,2,3,1,0,Match Report
28,Southampton,2023-05-21,Brighton,eng Premier League,L 1-3,1,3,-2,37,1,0,0,0,8,5,2,0,0,1,0,Match Report
29,West Ham,2023-05-21,Leeds United,eng Premier League,W 3-1,3,1,+2,59,3,0,0,0,33,26,4,1,0,2,0,Match Report
30,Leeds United,2023-05-21,West Ham,eng Premier League,L 1-3,1,3,-2,41,1,0,0,0,22,14,4,1,1,1,1,Match Report
31,Brighton,2023-05-21,Southampton,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,44,39,2,1,1,1,0,Match Report
32,Chelsea,2023-05-21,Manchester City,eng Premier League,L 0-1,0,1,-1,36,0,0,0,0,24,16,3,1,1,2,1,Match Report
33,Aston Villa,2023-05-20,Liverpool,eng Premier League,D 1-1,1,1,0,34,1,0,1,1,11,5,1,2,1,2,0,Match Report
34,Arsenal,2023-05-20,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,81,0,0,0,0,15,13,2,0,0,0,0,Match Report
35,Liverpool,2023-05-20,Aston Villa,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,19,13,4,2,0,0,0,Match Report
36,Fulham,2023-05-20,Crystal Palace,eng Premier League,D 2-2,2,2,0,49,1,1,1,0,20,11,4,0,1,3,1,Match Report
37,Wolves,2023-05-20,Everton,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,20,17,0,0,2,1,0,Match Report
38,Manchester Utd,2023-05-20,Bournemouth,eng Premier League,W 1-0,1,0,+1,59,1,0,0,0,33,30,1,0,1,1,0,Match Report
39,Nott'ham Forest,2023-05-20,Arsenal,eng Premier League,W 1-0,1,0,+1,19,1,0,0,0,8,5,2,1,0,0,0,Match Report
40,Everton,2023-05-20,Wolves,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,32,18,7,0,0,5,2,Match Report
41,Tottenham,2023-05-20,Brentford,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,40,26,5,2,5,1,1,Match Report
42,Bournemouth,2023-05-20,Manchester Utd,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,18,15,0,0,0,2,1,Match Report
43,Brentford,2023-05-20,Tottenham,eng Premier League,W 3-1,3,1,+2,39,3,0,0,0,18,17,1,0,0,0,0,Match Report
44,Crystal Palace,2023-05-20,Fulham,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,19,13,0,2,1,2,1,Match Report
45,Brighton,2023-05-18,Newcastle Utd,eng Premier League,L 1-4,1,4,-3,65,1,0,0,0,16,14,1,1,0,0,0,Match Report
46,Newcastle Utd,2023-05-18,Brighton,eng Premier League,W 4-1,4,1,+3,35,3,0,0,0,37,24,3,2,4,3,1,Match Report
47,Liverpool,2023-05-15,Leicester City,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,28,23,2,1,0,1,1,Match Report
48,Leicester City,2023-05-15,Liverpool,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,8,8,0,0,0,0,0,Match Report
49,Manchester City,2023-05-14,Everton,eng Premier League,W 3-0,3,0,+3,63,3,0,0,0,17,11,1,2,0,3,0,Match Report
50,Arsenal,2023-05-14,Brighton,eng Premier League,L 0-3,0,3,-3,41,0,0,0,0,23,20,1,1,0,1,0,Match Report
51,West Ham,2023-05-14,Brentford,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,6,4,1,1,0,0,0,Match Report
52,Everton,2023-05-14,Manchester City,eng Premier League,L 0-3,0,3,-3,37,0,0,0,0,10,2,4,0,4,0,0,Match Report
53,Brighton,2023-05-14,Arsenal,eng Premier League,W 3-0,3,0,+3,59,3,0,0,0,19,15,0,3,1,0,0,Match Report
54,Brentford,2023-05-14,West Ham,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,41,25,5,4,6,0,1,Match Report
55,Aston Villa,2023-05-13,Tottenham,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,15,12,1,1,0,1,0,Match Report
56,Fulham,2023-05-13,Southampton,eng Premier League,W 2-0,2,0,+2,64,2,0,0,0,16,14,1,0,0,0,1,Match Report
57,Wolves,2023-05-13,Manchester Utd,eng Premier League,L 0-2,0,2,-2,52,0,0,0,0,8,4,3,0,1,0,0,Match Report
