Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
45,West Brom,2018-05-05,Tottenham,eng Premier League,W 1-0,1,0,+1,26,1,0,0,0,15,5,4,2,4,0,0,Match Report
46,Bournemouth,2018-05-05,Swansea City,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,17,9,4,0,2,2,0,Match Report
47,Watford,2018-05-05,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,39,2,0,1,1,19,11,1,0,3,3,1,Match Report
48,Crystal Palace,2018-05-05,Stoke City,eng Premier League,W 2-1,2,1,+1,59,2,0,0,0,24,19,1,2,0,1,1,Match Report
49,Tottenham,2018-05-05,West Brom,eng Premier League,L 0-1,0,1,-1,74,0,0,0,0,33,23,3,2,1,3,1,Match Report
50,Southampton,2018-05-05,Everton,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,17,12,1,1,0,2,1,Match Report
51,Brighton,2018-05-04,Manchester Utd,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,21,15,1,3,1,0,1,Match Report
52,Manchester Utd,2018-05-04,Brighton,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,32,26,1,3,0,2,0,Match Report
53,Watford,2018-04-30,Tottenham,eng Premier League,L 0-2,0,2,-2,39,0,0,0,0,24,15,1,3,2,1,2,Match Report
54,Tottenham,2018-04-30,Watford,eng Premier League,W 2-0,2,0,+2,61,2,0,0,0,22,16,3,1,1,1,0,Match Report
55,Manchester City,2018-04-29,West Ham,eng Premier League,W 4-1,4,1,+3,74,3,0,0,0,36,31,0,2,0,1,2,Match Report
56,Arsenal,2018-04-29,Manchester Utd,eng Premier League,L 1-2,1,2,-1,41,1,0,0,0,14,12,0,1,0,0,1,Match Report
57,Manchester Utd,2018-04-29,Arsenal,eng Premier League,W 2-1,2,1,+1,59,2,0,0,0,24,19,2,0,2,1,0,Match Report
58,West Ham,2018-04-29,Manchester City,eng Premier League,L 1-4,1,4,-3,26,1,0,0,0,7,2,2,0,0,3,0,Match Report
59,Swansea City,2018-04-28,Chelsea,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,18,16,0,2,0,0,0,Match Report
60,Stoke City,2018-04-28,Liverpool,eng Premier League,D 0-0,0,0,0,29,0,0,0,0,9,5,2,1,1,0,0,Match Report
61,Huddersfield,2018-04-28,Everton,eng Premier League,L 0-2,0,2,-2,54,0,0,0,0,17,13,3,1,0,0,0,Match Report
62,Everton,2018-04-28,Huddersfield,eng Premier League,W 2-0,2,0,+2,46,2,0,0,0,14,9,2,1,0,2,0,Match Report
63,Brighton,2018-04-28,Burnley,eng Premier League,D 0-0,0,0,0,55,0,0,0,0,20,17,2,0,1,0,0,Match Report
64,Chelsea,2018-04-28,Swansea City,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,21,14,2,2,2,0,1,Match Report
65,Newcastle Utd,2018-04-28,West Brom,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,31,25,2,2,2,0,0,Match Report
66,Leicester City,2018-04-28,Crystal Palace,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,10,6,1,1,0,1,1,Match Report
67,Burnley,2018-04-28,Brighton,eng Premier League,D 0-0,0,0,0,45,0,0,0,0,17,8,2,2,2,3,0,Match Report
68,Liverpool,2018-04-28,Stoke City,eng Premier League,D 0-0,0,0,0,71,0,0,0,0,39,37,1,0,0,1,0,Match Report
69,West Brom,2018-04-28,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,12,9,1,0,0,1,1,Match Report
70,Bournemouth,2018-04-28,Southampton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,26,18,3,3,1,1,0,Match Report
71,Crystal Palace,2018-04-28,Leicester City,eng Premier League,W 5-0,5,0,+5,50,4,1,1,0,27,20,1,2,2,2,0,Match Report
72,Southampton,2018-04-28,Bournemouth,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,23,17,1,2,3,0,0,Match Report
73,Everton,2018-04-23,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,56,1,0,0,0,14,10,1,0,1,1,1,Match Report
74,Newcastle Utd,2018-04-23,Everton,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,18,11,3,2,0,1,1,Match Report
75,Manchester City,2018-04-22,Swansea City,eng Premier League,W 5-0,5,0,+5,82,5,0,1,1,33,27,0,1,1,2,2,Match Report
76,Stoke City,2018-04-22,Burnley,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,14,9,1,4,0,0,0,Match Report
77,Swansea City,2018-04-22,Manchester City,eng Premier League,L 0-5,0,5,-5,18,0,0,0,0,7,2,1,2,0,1,1,Match Report
78,Arsenal,2018-04-22,West Ham,eng Premier League,W 4-1,4,1,+3,67,4,0,0,0,35,27,3,3,0,2,0,Match Report
79,Burnley,2018-04-22,Stoke City,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,29,15,4,2,4,3,1,Match Report
