Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Stoke City,2018-05-13,Swansea City,eng Premier League,W 2-1,2,1,+1,43,2,0,1,1,326,1570,682,6,5,0,9,11,351,16,Match Report
2,Manchester City,2018-05-13,Southampton,eng Premier League,W 1-0,1,0,+1,69,1,0,0,0,468,2914,1800,35,27,4,10,10,531,58,Match Report
3,Swansea City,2018-05-13,Stoke City,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,477,2715,1443,26,29,5,18,11,489,81,Match Report
4,Huddersfield,2018-05-13,Arsenal,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,283,1562,668,15,10,5,16,8,338,43,Match Report
5,Everton,2018-05-13,West Ham,eng Premier League,L 1-3,1,3,-2,43,1,0,0,0,301,1522,720,14,10,3,16,4,295,31,Match Report
6,Brighton,2018-05-13,Liverpool,eng Premier League,L 0-4,0,4,-4,28,0,0,0,0,185,1290,595,8,3,2,12,10,205,16,Match Report
7,Arsenal,2018-05-13,Huddersfield,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,420,2031,1043,10,15,4,16,15,438,41,Match Report
8,Chelsea,2018-05-13,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,443,2504,1336,24,21,3,7,13,509,47,Match Report
9,Newcastle Utd,2018-05-13,Chelsea,eng Premier League,W 3-0,3,0,+3,42,3,0,0,0,299,1365,740,14,17,4,9,12,333,24,Match Report
10,Leicester City,2018-05-13,Tottenham,eng Premier League,L 4-5,4,5,-1,36,4,0,0,0,203,1215,554,9,9,7,18,14,204,29,Match Report
11,Burnley,2018-05-13,Bournemouth,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,245,1349,633,18,10,4,7,7,324,43,Match Report
12,Manchester Utd,2018-05-13,Watford,eng Premier League,W 1-0,1,0,+1,52,1,0,0,0,328,1794,1033,23,14,3,18,16,394,36,Match Report
13,Liverpool,2018-05-13,Brighton,eng Premier League,W 4-0,4,0,+4,72,4,0,0,0,530,2491,1310,24,20,7,19,11,683,72,Match Report
14,West Ham,2018-05-13,Everton,eng Premier League,W 3-1,3,1,+2,57,3,0,0,0,420,2332,1233,23,17,5,14,4,409,31,Match Report
15,West Brom,2018-05-13,Crystal Palace,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,291,1617,857,11,9,1,15,22,316,27,Match Report
