Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh.1,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live,Carries,TotDist.1,PrgDist.1,PrgC,1/3.1,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Arsenal,2021-05-23,Brighton,eng Premier League,W 2-0,2,0,2,54,2,0,0,0,527,612,86.1,15,39,17,2,58,8538,2751,251,266,94.4,211,237,89.0,45,68,66.2,14,8,6,5,3,3,6,50.0,3,9,1,8,5,19,9,0,0.8,0.8,0.6,0.6,0.7,1.1,1.2,1.2,1.3,0.05,16,0.13,0.4,5,31.3,20.8,1,0.1,0.05,0.1,698,65,246,245,212,38,698,477,2447,1285,21,10,9,13,7,525,57,Match Report
2,Arsenal,2021-05-19,Crystal Palace,eng Premier League,W 3-1,3,1,2,68,3,0,0,0,552,663,83.3,5,52,12,3,55,9803,3113,233,258,90.3,262,295,88.8,48,83,57.8,8,5,1,2,5,3,9,33.3,6,6,2,4,11,19,21,0,1.8,1.8,0.8,0.8,1.7,1.2,1.2,1.2,0.3,0.31,6,0.5,1.0,3,50.0,14.2,0,1.3,0.21,0.3,756,69,223,255,224,17,756,537,2667,1218,14,11,2,18,13,550,55,Match Report
3,Arsenal,2021-05-12,Chelsea,eng Premier League,W 1-0,1,0,1,33,1,0,0,0,310,402,77.1,3,14,2,1,22,5430,1968,155,182,85.2,133,150,88.7,21,58,36.2,14,8,9,4,1,10,22,45.5,12,13,6,7,8,22,40,2,0.6,0.6,-1.1,-1.1,0.6,0.5,0.4,0.4,0.4,0.13,5,0.2,0.5,2,40.0,20.7,0,0.3,0.08,0.3,521,106,255,176,83,8,521,309,1486,623,13,9,3,18,2,310,22,Match Report
4,Arsenal,2021-05-09,West Brom,eng Premier League,W 3-1,3,1,2,65,3,0,0,0,521,618,84.3,9,37,7,1,53,8581,2602,249,284,87.7,237,257,92.2,29,61,47.5,11,8,8,2,1,7,12,58.3,5,6,4,2,12,23,25,0,0.9,0.9,-0.8,-0.8,0.7,0.8,2.1,2.1,1.3,0.06,15,0.2,0.43,7,46.7,19.7,1,0.5,0.5,-0.5,717,83,244,255,165,22,717,531,2890,1582,25,20,6,11,6,515,52,Match Report
5,Arsenal,2021-05-02,Newcastle Utd,eng Premier League,W 2-0,2,0,2,61,2,0,0,0,613,680,90.1,17,76,9,3,61,10465,3242,296,314,94.3,266,285,93.3,45,64,70.3,6,1,2,3,1,4,18,22.2,14,3,1,2,9,15,12,0,2.0,2.0,1.7,1.7,1.9,1.7,0.0,0.0,0.1,0.1,19,0.11,0.5,4,21.1,17.0,1,0.1,0.1,0.1,754,56,152,255,255,24,754,548,2554,1284,17,9,4,7,6,605,61,Match Report
6,Arsenal,2021-04-23,Everton,eng Premier League,L 0-1,0,1,-1,59,0,0,0,0,602,679,88.7,12,63,10,2,65,10648,3067,278,293,94.9,238,265,89.8,73,96,76.0,10,4,4,3,3,1,10,10.0,9,12,4,8,9,19,10,1,0.8,0.8,0.3,0.3,0.7,0.7,-0.8,-0.8,-0.7,0.06,14,0.0,0.0,3,21.4,18.3,0,0.1,0.11,0.1,774,45,186,255,230,28,774,392,2241,1123,16,9,8,14,9,602,65,Match Report
7,Arsenal,2021-04-18,Fulham,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,587,689,85.2,12,52,10,4,54,9379,2380,294,327,89.9,235,261,90.0,37,62,59.7,18,8,8,6,4,10,21,47.6,11,6,2,4,8,26,7,0,2.7,2.7,1.8,2.6,1.9,1.9,-1.7,-1.7,-1.9,0.15,18,0.06,0.2,5,27.8,16.0,1,1.0,0.0,0.0,770,32,134,255,239,34,770,508,2609,1484,27,19,6,10,3,582,53,Match Report
8,Arsenal,2021-04-11,Sheffield Utd,eng Premier League,W 3-0,3,0,3,55,3,0,0,0,539,616,87.5,9,30,8,0,36,8854,2696,249,274,90.9,234,251,93.2,36,53,67.9,12,7,7,2,3,2,5,40.0,3,11,3,8,2,14,12,0,1.7,1.7,1.4,1.4,1.0,1.1,1.3,1.3,1.0,0.13,14,0.21,0.6,5,35.7,18.3,1,0.1,0.06,0.1,703,57,200,255,146,29,703,445,2243,1169,26,11,7,11,9,534,36,Match Report
9,Arsenal,2021-04-03,Liverpool,eng Premier League,L 0-3,0,3,-3,36,0,0,0,0,318,425,74.8,2,23,1,0,19,5172,1628,150,175,85.7,120,146,82.2,29,75,38.7,21,5,9,12,0,6,19,31.6,13,10,3,7,7,28,23,1,0.1,0.1,-2.3,-2.3,0.1,0.2,-0.1,-0.1,-0.1,0.04,3,0.0,0.0,2,66.7,18.9,0,2.8,0.4,-0.2,520,71,237,210,79,6,520,259,1319,512,9,5,2,11,9,317,19,Match Report
10,Arsenal,2021-03-21,West Ham,eng Premier League,D 3-3,3,3,0,62,1,0,0,0,548,652,84.0,14,42,11,3,63,7608,2566,308,336,91.7,177,204,86.8,25,61,41.0,10,6,5,3,2,5,12,41.7,7,10,3,7,9,19,23,0,1.4,1.4,-1.0,-1.0,1.2,1.7,-0.4,-0.4,-0.2,0.08,16,0.06,0.17,6,37.5,18.2,0,2.0,0.39,-1.0,749,55,188,255,242,26,749,520,2693,1448,25,25,3,10,6,545,63,Match Report
11,Arsenal,2021-03-14,Tottenham,eng Premier League,W 2-1,2,1,1,52,1,1,1,0,468,565,82.8,11,38,9,1,54,7615,2325,221,243,90.9,182,210,86.7,37,64,57.8,20,11,4,11,5,10,22,45.5,12,6,1,5,11,31,8,0,1.7,1.0,1.4,0.6,0.9,0.9,0.3,0.0,0.1,0.08,12,0.08,0.5,2,16.7,22.5,0,0.8,0.26,-0.2,660,29,148,255,192,22,659,402,2271,1215,24,12,8,12,9,465,54,Match Report
12,Arsenal,2021-03-06,Burnley,eng Premier League,D 1-1,1,1,0,59,1,0,0,0,520,648,80.2,8,29,13,2,48,7843,2308,286,320,89.4,181,217,83.4,33,71,46.5,12,6,5,7,0,3,7,42.9,4,7,0,7,5,17,18,1,2.5,2.5,1.4,1.4,1.0,0.8,-1.5,-1.5,0.0,0.17,15,0.07,0.5,2,13.3,15.5,0,1.5,0.3,0.5,748,69,255,255,177,35,748,406,2295,1486,24,19,4,19,8,513,48,Match Report
13,Arsenal,2021-02-28,Leicester City,eng Premier League,W 3-1,3,1,2,56,2,1,1,0,455,561,81.1,8,36,5,1,38,7821,2483,221,246,89.8,176,204,86.3,46,76,60.5,9,8,4,3,2,5,11,45.5,6,8,2,6,9,18,10,1,2.3,1.5,1.9,1.1,0.6,1.0,0.7,0.5,0.4,0.15,11,0.18,0.67,3,27.3,18.5,0,0.7,0.25,-0.3,654,43,189,255,174,21,653,295,1601,864,17,8,4,12,8,451,38,Match Report
14,Arsenal,2021-02-21,Manchester City,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,424,509,83.3,4,21,8,2,29,7021,2361,209,231,90.5,174,202,86.1,29,51,56.9,8,3,6,2,0,4,23,17.4,19,11,6,5,6,14,13,2,0.3,0.3,-1.4,-1.4,0.2,0.4,-0.3,-0.3,-0.2,0.05,7,0.0,0.0,1,14.3,19.5,0,1.5,0.5,0.5,581,91,246,234,104,18,581,391,1840,1000,13,11,4,19,1,422,29,Match Report
15,Arsenal,2021-02-14,Leeds United,eng Premier League,W 4-2,4,2,2,46,3,1,1,0,356,468,76.1,11,16,4,0,28,5935,2029,169,194,87.1,143,177,80.8,31,70,44.3,5,2,1,3,1,1,8,12.5,7,12,2,10,16,21,14,1,2.3,1.5,1.4,0.6,1.5,1.3,1.7,1.5,1.5,0.13,12,0.25,0.75,4,33.3,19.1,0,1.9,0.38,-0.1,569,60,190,255,112,33,568,316,1766,962,16,12,7,14,3,352,27,Match Report
16,Arsenal,2021-02-06,Aston Villa,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,550,658,83.6,10,52,19,4,73,8353,3038,281,312,90.1,210,237,88.6,28,53,52.8,12,7,9,1,2,8,18,44.4,10,8,1,7,6,18,9,1,0.8,0.8,-0.4,-0.4,0.6,0.9,-0.8,-0.8,-0.6,0.06,14,0.0,0.0,3,21.4,17.3,1,2.6,0.32,1.6,761,39,198,255,245,41,761,431,2442,1347,28,17,7,17,8,548,72,Match Report
17,Arsenal,2021-02-02,Wolves,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,451,517,87.2,6,28,4,1,38,6696,2109,262,277,94.6,165,180,91.7,14,39,35.9,13,7,8,4,1,9,27,33.3,18,7,0,7,4,17,29,0,0.8,0.8,-0.7,0.1,0.7,0.5,0.2,0.2,0.3,0.09,9,0.11,0.33,3,33.3,18.7,0,1.6,0.09,-0.4,609,66,179,255,113,19,609,393,1927,1173,14,12,5,10,7,449,38,Match Report
18,Arsenal,2021-01-30,Manchester Utd,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,368,461,79.8,10,32,7,2,37,6422,2073,173,198,87.4,156,183,85.2,34,62,54.8,13,7,8,3,2,7,13,53.8,6,16,3,13,13,26,23,0,0.9,0.9,-0.8,-0.8,0.5,0.3,-0.9,-0.9,-0.5,0.05,17,0.0,0.0,3,17.6,20.8,3,0.6,0.19,0.6,562,75,225,204,141,17,562,340,1673,834,15,9,4,5,7,367,37,Match Report
19,Arsenal,2021-01-26,Southampton,eng Premier League,W 3-1,3,1,2,42,3,0,0,0,300,398,75.4,8,25,8,1,32,5346,2047,138,166,83.1,115,137,83.9,36,67,53.7,15,8,7,5,3,5,19,26.3,14,10,3,7,7,22,16,1,2.2,2.2,1.4,1.4,2.2,1.6,0.8,0.8,0.8,0.24,9,0.33,0.75,4,44.4,15.2,0,1.1,0.21,0.1,500,51,171,189,143,21,500,224,1306,632,13,8,9,19,11,300,32,Match Report
20,Arsenal,2021-01-18,Newcastle Utd,eng Premier League,W 3-0,3,0,3,66,3,0,0,0,592,679,87.2,15,65,9,1,75,10327,3188,266,283,94.0,264,285,92.6,51,78,65.4,7,5,1,4,2,4,13,30.8,9,5,1,4,9,16,12,0,2.4,2.4,2.2,2.2,1.7,1.4,0.6,0.6,1.3,0.12,20,0.15,0.5,6,30.0,16.6,1,0.0,0.04,0.0,764,45,197,255,198,34,764,500,2656,1389,23,10,7,13,7,589,74,Match Report
21,Arsenal,2021-01-14,Crystal Palace,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,626,738,84.8,7,58,12,2,72,10232,2951,302,339,89.1,255,285,89.5,43,64,67.2,17,8,8,7,2,13,30,43.3,17,12,4,8,10,27,9,0,0.4,0.4,-0.4,-0.4,0.3,0.7,-0.4,-0.4,-0.3,0.04,11,0.0,0.0,4,36.4,20.1,0,0.4,0.18,0.4,831,47,204,255,226,24,831,501,3105,1806,27,16,4,12,5,623,72,Match Report
22,Arsenal,2021-01-02,West Brom,eng Premier League,W 4-0,4,0,4,61,4,0,0,0,543,672,80.8,16,35,7,1,51,9531,3148,242,273,88.6,258,301,85.7,38,69,55.1,14,11,5,7,2,6,16,37.5,10,7,1,6,16,30,18,0,3.7,3.7,2.7,2.7,3.1,1.6,0.3,0.3,-0.1,0.18,21,0.19,0.36,11,52.4,15.2,0,0.9,0.31,0.9,785,61,255,255,185,32,785,468,2551,1536,35,21,12,16,7,542,51,Match Report
23,Arsenal,2020-12-29,Brighton,eng Premier League,W 1-0,1,0,1,50,1,0,0,0,463,549,84.3,9,31,6,2,32,8525,2659,179,195,91.8,235,254,92.5,43,81,53.1,10,5,4,5,1,4,17,23.5,13,15,6,9,10,20,17,1,1.1,1.1,0.2,0.2,1.0,0.6,-0.1,-0.1,0.0,0.1,11,0.09,0.33,3,27.3,14.5,1,0.3,0.16,0.3,648,78,232,255,112,15,648,424,2174,1177,21,13,4,13,11,457,32,Match Report
24,Arsenal,2020-12-26,Chelsea,eng Premier League,W 3-1,3,1,2,40,2,1,1,0,249,373,66.8,6,20,3,1,28,4506,1944,121,152,79.6,103,138,74.6,23,66,34.8,16,7,8,4,4,12,21,57.1,9,10,4,6,7,23,20,0,2.0,1.2,-0.6,-0.6,0.6,0.5,1.0,0.8,0.4,0.09,14,0.14,0.33,6,42.9,17.9,1,2.2,0.39,1.2,477,67,186,164,130,23,476,202,1116,556,15,3,4,10,5,247,28,Match Report
25,Arsenal,2020-12-19,Everton,eng Premier League,L 1-2,1,2,-1,57,0,1,1,0,513,592,86.7,10,49,13,2,63,9676,2909,189,206,91.7,261,285,91.6,54,84,64.3,9,6,6,1,2,5,12,41.7,7,12,3,9,8,17,13,0,1.4,0.6,0.7,0.0,0.5,0.7,-0.4,-0.6,-0.5,0.05,12,0.0,0.0,1,8.3,18.9,1,0.5,0.3,-0.5,684,55,182,255,193,37,683,458,2795,1581,30,18,10,16,8,508,63,Match Report
26,Arsenal,2020-12-16,Southampton,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,287,377,76.1,8,26,4,0,38,5688,2137,112,134,83.6,134,159,84.3,40,73,54.8,8,6,3,5,0,5,13,38.5,8,11,2,9,17,25,28,1,0.6,0.6,-0.6,-0.6,0.6,0.3,0.4,0.4,0.4,0.07,9,0.11,0.25,4,44.4,22.3,0,0.3,0.11,-0.7,483,63,207,203,79,15,483,262,1242,687,15,8,5,13,5,287,38,Match Report
27,Arsenal,2020-12-13,Burnley,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,501,634,79.0,16,42,12,2,59,9687,3063,163,191,85.3,283,325,87.1,51,98,52.0,12,5,5,7,0,5,9,55.6,4,9,3,6,8,20,10,0,1.6,1.6,0.2,0.2,1.5,1.6,-1.6,-1.6,-1.5,0.09,18,0.0,0.0,6,33.3,17.6,0,0.3,0.13,0.3,729,70,245,255,218,36,729,407,1971,1039,21,16,6,16,7,498,58,Match Report
28,Arsenal,2020-12-06,Tottenham,eng Premier League,L 0-2,0,2,-2,69,0,0,0,0,574,697,82.4,6,42,18,5,71,9149,2496,280,309,90.6,241,286,84.3,35,67,52.2,15,11,3,6,6,6,11,54.5,5,6,1,5,5,20,10,0,0.6,0.6,0.4,0.4,0.4,1.1,-0.6,-0.6,-0.4,0.06,11,0.0,0.0,2,18.2,16.8,1,0.9,0.29,-1.1,789,37,98,255,255,36,789,531,2962,1704,26,31,6,15,5,570,70,Match Report
29,Arsenal,2020-11-29,Wolves,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,447,557,80.3,6,49,15,2,63,8436,2564,173,200,86.5,230,264,87.1,43,72,59.7,13,6,4,7,2,3,13,23.1,10,13,4,9,9,22,16,0,1.5,1.5,-0.3,-0.3,0.8,1.6,-0.5,-0.5,0.2,0.12,13,0.08,0.5,2,15.4,15.6,2,1.8,0.36,-0.2,651,35,129,255,219,35,651,392,2192,1221,20,9,1,14,8,441,63,Match Report
30,Arsenal,2020-11-22,Leeds United,eng Premier League,D 0-0,0,0,0,34,0,0,0,0,236,343,68.8,6,15,3,0,29,3806,1692,116,134,86.6,97,125,77.6,14,58,24.1,10,5,2,6,2,2,6,33.3,4,7,5,2,11,21,29,0,0.9,0.9,-0.9,-0.9,0.7,0.5,-0.9,-0.9,-0.7,0.1,9,0.0,0.0,2,22.2,19.6,2,0.8,0.19,0.8,444,94,200,184,69,13,444,249,1691,922,15,14,3,11,12,235,29,Match Report
31,Arsenal,2020-11-08,Aston Villa,eng Premier League,L 0-3,0,3,-3,59,0,0,0,0,481,588,81.8,8,30,4,1,43,7774,2013,239,261,91.6,200,245,81.6,28,54,51.9,7,2,4,2,1,3,15,20.0,12,17,10,7,8,15,11,0,1.5,1.5,-0.3,-0.3,0.6,0.6,-1.5,-1.5,-0.6,0.11,13,0.0,0.0,2,15.4,16.4,0,1.6,0.32,-0.4,679,76,239,255,153,25,679,459,2403,1451,27,15,7,11,7,477,42,Match Report
32,Arsenal,2020-11-01,Manchester Utd,eng Premier League,W 1-0,1,0,1,46,0,1,1,0,438,526,83.3,5,24,7,2,40,6884,2011,233,254,91.7,166,182,91.2,25,56,44.6,20,15,12,7,1,8,13,61.5,5,8,2,6,12,32,25,0,1.0,0.3,0.6,-0.1,0.2,0.4,0.0,-0.3,-0.2,0.04,6,0.0,0.0,1,16.7,24.6,0,0.1,0.05,0.1,645,82,222,255,130,14,644,396,1978,1064,18,16,2,19,4,435,40,Match Report
