Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
1,Manchester Utd,2021-05-23,Wolves,eng Premier League,W 2-1,2,1,+1,43,1,1,1,0,603,74,209,255,130,15,602,Match Report
2,Brighton,2021-05-23,Arsenal,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,610,100,255,211,115,9,610,Match Report
3,Southampton,2021-05-23,West Ham,eng Premier League,L 0-3,0,3,-3,62,0,0,0,0,685,54,204,255,126,23,685,Match Report
4,Fulham,2021-05-23,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,750,43,189,255,241,23,750,Match Report
5,Aston Villa,2021-05-23,Chelsea,eng Premier League,W 2-1,2,1,+1,29,1,1,1,0,394,89,195,140,68,17,393,Match Report
6,Everton,2021-05-23,Manchester City,eng Premier League,L 0-5,0,5,-5,33,0,0,1,1,458,63,150,231,87,11,457,Match Report
7,West Brom,2021-05-23,Leeds United,eng Premier League,L 1-3,1,3,-2,36,1,0,0,0,420,69,144,166,116,19,420,Match Report
8,Wolves,2021-05-23,Manchester Utd,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,723,40,188,255,214,26,723,Match Report
9,Manchester City,2021-05-23,Everton,eng Premier League,W 5-0,5,0,+5,67,5,0,0,0,859,67,247,255,156,37,859,Match Report
10,Liverpool,2021-05-23,Crystal Palace,eng Premier League,W 2-0,2,0,+2,69,2,0,0,0,744,41,146,255,236,47,744,Match Report
11,Chelsea,2021-05-23,Aston Villa,eng Premier League,L 1-2,1,2,-1,71,1,0,0,0,769,45,148,255,255,48,769,Match Report
12,Newcastle Utd,2021-05-23,Fulham,eng Premier League,W 2-0,2,0,+2,36,1,1,1,0,491,94,255,144,86,12,490,Match Report
13,Leicester City,2021-05-23,Tottenham,eng Premier League,L 2-4,2,4,-2,47,0,2,2,0,614,60,230,254,131,13,612,Match Report
14,Arsenal,2021-05-23,Brighton,eng Premier League,W 2-0,2,0,+2,54,2,0,0,0,698,65,246,245,212,38,698,Match Report
15,Tottenham,2021-05-23,Leicester City,eng Premier League,W 4-2,4,2,+2,53,3,0,0,0,660,70,231,255,158,21,660,Match Report
16,Burnley,2021-05-23,Sheffield Utd,eng Premier League,L 0-1,0,1,-1,57,0,0,0,0,624,57,172,255,172,28,624,Match Report
17,Leeds United,2021-05-23,West Brom,eng Premier League,W 3-1,3,1,+2,64,2,1,1,0,656,61,208,255,169,28,655,Match Report
18,Crystal Palace,2021-05-23,Liverpool,eng Premier League,L 0-2,0,2,-2,31,0,0,0,0,395,84,191,160,47,5,395,Match Report
19,West Ham,2021-05-23,Southampton,eng Premier League,W 3-0,3,0,+3,38,3,0,0,0,453,59,120,209,128,19,453,Match Report
20,Sheffield Utd,2021-05-23,Burnley,eng Premier League,W 1-0,1,0,+1,43,1,0,0,0,527,86,214,175,143,21,527,Match Report
21,Arsenal,2021-05-19,Crystal Palace,eng Premier League,W 3-1,3,1,+2,68,3,0,0,0,756,69,223,255,224,17,756,Match Report
22,Tottenham,2021-05-19,Aston Villa,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,728,83,253,255,162,28,728,Match Report
23,Crystal Palace,2021-05-19,Arsenal,eng Premier League,L 1-3,1,3,-2,32,1,0,0,0,434,55,139,196,105,25,434,Match Report
24,Aston Villa,2021-05-19,Tottenham,eng Premier League,W 2-1,2,1,+1,40,1,0,0,0,518,67,158,205,166,34,518,Match Report
25,Sheffield Utd,2021-05-19,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,599,51,117,255,205,13,599,Match Report
26,West Brom,2021-05-19,West Ham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,518,63,154,199,175,22,517,Match Report
27,Wolves,2021-05-19,Everton,eng Premier League,L 0-1,0,1,-1,59,0,0,0,0,699,48,182,255,172,17,699,Match Report
28,Liverpool,2021-05-19,Burnley,eng Premier League,W 3-0,3,0,+3,59,3,0,0,0,737,94,230,255,214,31,737,Match Report
29,Newcastle Utd,2021-05-19,Sheffield Utd,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,639,74,255,255,124,17,639,Match Report
30,Burnley,2021-05-19,Liverpool,eng Premier League,L 0-3,0,3,-3,41,0,0,0,0,534,47,154,221,163,25,534,Match Report
31,West Ham,2021-05-19,West Brom,eng Premier League,W 3-1,3,1,+2,48,3,0,1,1,506,69,189,175,148,27,505,Match Report
32,Everton,2021-05-19,Wolves,eng Premier League,W 1-0,1,0,+1,41,1,0,0,0,544,69,217,202,135,15,544,Match Report
33,Southampton,2021-05-18,Leeds United,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,572,54,161,255,167,20,572,Match Report
34,Leicester City,2021-05-18,Chelsea,eng Premier League,L 1-2,1,2,-1,42,1,0,0,0,536,66,199,232,113,11,536,Match Report
35,Fulham,2021-05-18,Manchester Utd,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,561,102,255,181,81,12,561,Match Report
36,Leeds United,2021-05-18,Southampton,eng Premier League,W 2-0,2,0,+2,49,2,0,0,0,554,75,243,223,91,17,554,Match Report
37,Brighton,2021-05-18,Manchester City,eng Premier League,W 3-2,3,2,+1,63,3,0,0,0,744,51,175,255,190,37,744,Match Report
