Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
750,Cardiff City,2018-08-11,Bournemouth,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,191,327,58.4,8,25,4,1,27,4015,1807,69,95,72.6,79,114,69.3,33,91,36.3,Match Report
751,Bournemouth,2018-08-11,Cardiff City,eng Premier League,W 2-0,2,0,+2,63,2,0,1,1,432,547,79.0,8,21,12,4,48,7484,2691,201,238,84.5,189,223,84.8,38,66,57.6,Match Report
752,Everton,2018-08-11,Wolves,eng Premier League,D 2-2,2,2,0,42,2,0,0,0,326,448,72.8,6,19,4,1,23,5427,1744,176,209,84.2,106,133,79.7,33,80,41.3,Match Report
753,Tottenham,2018-08-11,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,58,2,0,0,0,500,621,80.5,11,37,8,5,42,8694,3078,245,281,87.2,187,219,85.4,55,88,62.5,Match Report
754,Huddersfield,2018-08-11,Chelsea,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,307,422,72.7,5,32,5,4,36,6585,2358,106,125,84.8,124,158,78.5,67,115,58.3,Match Report
755,Watford,2018-08-11,Brighton,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,348,476,73.1,13,21,11,3,44,6348,2583,168,197,85.3,118,150,78.7,50,103,48.5,Match Report
756,Wolves,2018-08-11,Everton,eng Premier League,D 2-2,2,2,0,58,2,0,0,0,484,607,79.7,5,44,6,2,60,9009,2611,181,209,86.6,234,269,87.0,57,96,59.4,Match Report
757,Chelsea,2018-08-11,Huddersfield,eng Premier League,W 3-0,3,0,+3,62,2,1,1,0,615,701,87.7,9,34,5,2,32,9605,3105,330,358,92.2,212,228,93.0,44,72,61.1,Match Report
758,Crystal Palace,2018-08-11,Fulham,eng Premier League,W 2-0,2,0,+2,35,2,0,0,0,286,388,73.7,10,19,8,2,36,5249,2459,127,154,82.5,118,148,79.7,34,68,50.0,Match Report
759,Leicester City,2018-08-10,Manchester Utd,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,475,598,79.4,9,41,8,1,55,7658,2469,249,278,89.6,156,193,80.8,43,76,56.6,Match Report
760,Manchester Utd,2018-08-10,Leicester City,eng Premier League,W 2-1,2,1,+1,47,1,1,1,0,418,522,80.1,7,31,2,0,27,6673,2221,228,247,92.3,119,148,80.4,43,77,55.8,Match Report
