Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
12,Wolves,2023-03-12,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,371,472,78.6,4,31,6,1,35,6988,2392,151,164,92.1,159,187,85.0,51,87,58.6,20,12,15,4,1,8,21,38.1,13,12,8,4,6,26,26,0,1.1,1.1,-0.6,-0.6,0.2,0.4,-0.1,-0.1,-0.2,0.16,7,0.14,0.25,4,57.1,19.5,1,2.5,0.32,+0.5,591,101,241,216,136,16,591,316,1727,911,11,17,1,13,5,370,35,Match Report
13,Wolves,2023-03-04,Tottenham,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,361,449,80.4,4,22,4,2,22,6396,1960,154,168,91.7,167,187,89.3,32,68,47.1,18,9,13,3,2,5,13,38.5,8,19,9,10,4,22,31,0,0.5,0.5,-0.7,-0.7,0.4,0.4,+0.5,+0.5,-0.4,0.07,8,0.13,0.20,5,62.5,21.0,0,1.7,0.28,+1.7,557,92,231,240,93,10,557,342,1606,832,16,6,1,10,1,358,21,Match Report
14,Wolves,2023-03-01,Liverpool,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,352,444,79.3,4,21,3,1,28,6275,2359,173,200,86.5,125,149,83.9,45,72,62.5,21,12,6,15,0,9,22,40.9,13,12,3,9,11,32,17,0,0.8,0.8,-1.8,-1.8,0.9,0.2,-0.8,-0.8,-0.9,0.23,4,0.00,0.00,1,25.0,11.0,0,2.4,0.52,+0.4,557,80,234,255,63,9,557,330,1761,893,12,9,1,23,6,350,28,Match Report
15,Wolves,2023-02-24,Fulham,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,368,484,76.0,8,31,10,4,31,6542,2367,172,201,85.6,142,171,83.0,45,90,50.0,19,14,6,11,2,4,13,30.8,9,10,3,7,10,29,16,0,0.8,0.8,+0.3,+0.3,0.8,0.7,+0.2,+0.2,+0.2,0.10,8,0.13,0.50,2,25.0,18.1,0,1.4,0.29,+0.4,589,62,198,255,112,16,589,276,1498,704,10,4,0,15,12,364,31,Match Report
16,Wolves,2023-02-18,Bournemouth,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,551,680,81.0,14,60,12,5,65,10240,3249,241,269,89.6,241,273,88.3,64,105,61.0,16,11,9,6,1,4,13,30.8,9,7,3,4,2,18,14,0,1.3,1.3,+0.2,+0.2,1.3,1.5,-1.3,-1.3,-1.3,0.09,15,0.00,0.00,4,26.7,13.3,0,1.0,0.99,0.0,790,56,237,255,219,42,790,546,2736,1384,21,13,6,17,6,549,65,Match Report
17,Wolves,2023-02-11,Southampton,eng Premier League,W 2-1,2,1,+1,59,1,0,0,0,422,534,79.0,5,27,1,1,23,7174,2265,200,220,90.9,155,186,83.3,48,88,54.5,21,12,12,6,3,10,24,41.7,14,14,5,9,6,27,33,1,0.8,0.8,-0.3,-0.3,0.3,0.4,+0.2,+0.2,-0.3,0.08,11,0.09,1.00,1,9.1,18.7,0,0.1,0.06,-0.9,664,93,255,255,109,16,664,383,1617,702,15,14,6,16,9,418,23,Match Report
18,Wolves,2023-02-04,Liverpool,eng Premier League,W 3-0,3,0,+3,41,2,0,0,0,323,430,75.1,9,20,6,1,24,5879,1846,139,169,82.2,143,165,86.7,36,75,48.0,16,10,8,6,2,3,8,37.5,5,20,12,8,4,20,39,1,2.0,2.0,+0.2,+0.2,1.6,0.7,0.0,0.0,-0.6,0.17,12,0.17,0.40,5,41.7,18.3,0,0.5,0.27,+0.5,558,97,240,241,82,12,558,252,1286,642,11,10,2,11,6,322,24,Match Report
19,Wolves,2023-01-22,Manchester City,eng Premier League,L 0-3,0,3,-3,45,0,0,0,0,430,512,84.0,6,23,5,2,27,8158,2546,172,198,86.9,207,222,93.2,44,70,62.9,15,8,9,4,2,7,13,53.8,6,12,2,10,11,26,22,1,0.8,0.8,-2.0,-1.2,0.6,0.5,-0.8,-0.8,-0.6,0.08,10,0.00,0.00,1,10.0,16.4,0,2.6,0.28,-0.4,611,117,255,206,109,11,611,341,1581,763,12,7,3,10,2,425,26,Match Report
20,Wolves,2023-01-14,West Ham,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,489,592,82.6,11,41,8,2,38,8196,2547,249,275,90.5,193,210,91.9,40,81,49.4,15,9,6,7,2,7,14,50.0,7,20,8,12,4,19,38,1,0.9,0.9,-0.2,-0.2,0.5,0.6,+0.1,+0.1,-0.5,0.05,17,0.06,0.25,4,23.5,20.0,0,0.4,0.14,+0.4,723,97,255,255,146,22,723,453,2500,1308,25,15,6,13,7,488,38,Match Report
21,Wolves,2023-01-04,Aston Villa,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,344,431,79.8,8,23,5,1,23,6957,2181,130,148,87.8,156,177,88.1,52,80,65.0,29,17,18,7,4,12,18,66.7,6,15,7,8,6,35,37,0,0.9,0.9,-0.8,-0.8,0.5,0.5,+0.1,+0.1,+0.5,0.10,10,0.10,0.33,3,30.0,14.2,0,1.1,0.35,+0.1,553,82,255,188,113,15,553,295,1964,913,15,9,5,13,7,343,23,Match Report
22,Wolves,2022-12-31,Manchester Utd,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,331,442,74.9,8,18,4,2,25,5394,1970,178,216,82.4,114,134,85.1,28,70,40.0,16,6,7,5,4,12,16,75.0,4,14,5,9,14,30,11,2,0.7,0.7,-1.3,-1.3,0.6,0.4,-0.7,-0.7,-0.6,0.07,10,0.00,0.00,3,30.0,17.3,2,1.5,0.25,+0.5,556,88,225,202,135,13,556,237,1565,839,14,14,2,16,6,329,25,Match Report
23,Wolves,2022-12-26,Everton,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,306,411,74.5,4,22,7,1,28,5400,1876,125,156,80.1,136,164,82.9,33,63,52.4,19,12,9,8,2,9,17,52.9,8,8,2,6,12,31,20,1,0.8,0.8,-0.9,-0.9,0.5,0.5,+1.2,+1.2,+0.5,0.11,7,0.29,0.50,4,57.1,18.6,0,1.3,0.25,+0.3,521,64,201,196,129,13,521,265,1219,641,9,7,2,20,9,305,28,Match Report
