Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Manchester Utd,2023-05-28,Fulham,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,428,516,82.9,18,28,13,1,45,6771,2452,225,253,88.9,170,189,89.9,22,47,46.8,19,15,6,11,2,7,14,50.0,7,9,1,8,14,33,11,0,2.9,2.9,+1.1,+1.9,2.0,1.5,-0.9,-0.9,-1.0,0.14,21,0.10,0.25,8,38.1,20.7,1,1.4,0.15,+0.4,619,61,185,255,166,29,619,310,1369,680,16,10,8,9,4,422,45,Match Report
2,Manchester Utd,2023-05-25,Chelsea,eng Premier League,W 4-1,4,1,+3,42,3,1,1,0,389,464,83.8,15,28,15,0,35,6403,2759,198,219,90.4,140,159,88.1,36,46,78.3,19,10,13,4,2,12,31,38.7,19,15,4,11,4,23,11,0,5.2,4.4,+3.2,+2.4,3.2,2.2,-1.2,-1.4,-1.2,0.29,17,0.18,0.38,8,47.1,15.3,0,1.0,0.19,0.0,575,75,232,195,151,34,574,327,1777,1027,27,11,7,15,12,385,35,Match Report
3,Manchester Utd,2023-05-20,Bournemouth,eng Premier League,W 1-0,1,0,+1,59,1,0,0,0,587,697,84.2,15,53,11,0,57,9189,2932,317,353,89.8,194,221,87.8,51,77,66.2,26,19,8,12,6,11,19,57.9,8,9,3,6,5,31,15,0,1.4,1.4,+0.4,+0.4,0.9,1.1,-0.4,-0.4,-0.9,0.07,20,0.05,0.20,5,25.0,18.7,0,0.6,0.15,+0.6,804,58,200,255,255,35,804,460,2318,1275,27,14,11,15,7,584,57,Match Report
4,Manchester Utd,2023-05-13,Wolves,eng Premier League,W 2-0,2,0,+2,48,2,0,0,0,382,476,80.3,22,30,12,1,58,6036,2271,189,206,91.7,148,170,87.1,26,58,44.8,13,8,2,7,4,5,21,23.8,16,9,0,9,8,21,25,0,3.2,3.2,+2.8,+2.8,2.8,1.7,-1.2,-1.2,-0.8,0.12,27,0.07,0.22,9,33.3,19.3,2,0.0,,0.0,593,60,157,229,215,38,593,340,1682,945,22,17,12,16,3,377,56,Match Report
5,Manchester Utd,2023-05-07,West Ham,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,614,713,86.1,17,38,15,2,59,9913,3447,295,317,93.1,257,286,89.9,42,74,56.8,14,7,5,5,4,3,13,23.1,10,13,6,7,10,24,19,2,1.2,1.2,-0.1,-0.1,1.0,1.4,-1.2,-1.2,-1.0,0.06,19,0.00,0.00,4,21.1,18.2,0,0.7,0.18,-0.3,836,86,253,255,232,34,836,479,2233,1353,25,19,6,12,8,605,58,Match Report
6,Manchester Utd,2023-05-04,Brighton,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,306,407,75.2,14,25,9,1,37,5038,2284,161,186,86.6,117,141,83.0,23,53,43.4,20,13,8,11,1,12,22,54.5,10,17,5,12,6,26,13,1,1.4,1.4,-0.9,-0.1,1.3,1.1,-1.4,-1.4,-1.3,0.09,16,0.00,0.00,5,31.3,18.5,1,2.1,0.19,+1.1,524,93,218,185,124,17,524,254,987,490,9,8,5,9,6,304,37,Match Report
7,Manchester Utd,2023-04-30,Aston Villa,eng Premier League,W 1-0,1,0,+1,57,1,0,0,0,463,552,83.9,11,34,10,0,40,8375,2834,208,228,91.2,192,207,92.8,51,88,58.0,14,11,7,5,2,5,10,50.0,5,12,3,9,12,26,15,0,1.2,1.2,+0.7,+0.7,1.0,1.1,-0.2,-0.2,-1.0,0.09,14,0.07,0.17,6,42.9,19.0,0,0.1,0.06,+0.1,650,50,218,255,138,29,650,315,1474,728,11,10,7,18,8,454,35,Match Report
8,Manchester Utd,2023-04-27,Tottenham,eng Premier League,D 2-2,2,2,0,60,2,0,0,0,539,642,84.0,11,46,11,1,53,9644,3091,250,278,89.9,217,244,88.9,60,96,62.5,16,13,11,2,3,7,16,43.8,9,8,3,5,14,30,21,0,2.0,2.0,-0.5,-0.5,1.7,1.0,0.0,0.0,+0.3,0.12,17,0.12,0.29,7,41.2,17.9,2,1.7,0.25,-0.3,755,86,233,255,195,31,755,530,2278,1162,21,15,11,11,7,535,53,Match Report
9,Manchester Utd,2023-04-16,Nott'ham Forest,eng Premier League,W 2-0,2,0,+2,68,2,0,0,0,534,658,81.2,16,45,24,4,73,8971,3392,249,281,88.6,219,246,89.0,44,77,57.1,12,10,4,4,4,7,10,70.0,3,19,2,17,12,24,16,1,3.5,3.5,+2.7,+2.7,2.6,1.8,-1.5,-1.5,-1.6,0.18,22,0.09,0.29,7,31.8,15.4,1,0.0,,0.0,767,66,210,255,255,40,767,513,2387,1300,26,22,3,9,11,531,72,Match Report
10,Manchester Utd,2023-04-08,Everton,eng Premier League,W 2-0,2,0,+2,63,2,0,0,0,560,648,86.4,24,35,18,3,45,8490,3001,320,346,92.5,161,174,92.5,46,78,59.0,10,6,5,5,0,6,14,42.9,8,13,6,7,7,17,23,0,3.4,3.4,+2.4,+2.4,2.5,2.2,-1.4,-1.4,-0.5,0.12,29,0.07,0.18,11,37.9,16.5,0,0.1,0.07,+0.1,774,67,244,255,222,53,774,569,2390,1163,23,16,12,13,14,558,45,Match Report
