Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Nott'ham Forest,2023-05-28,Crystal Palace,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,204,303,67.3,4,13,2,1,14,3994,1815,82,104,78.8,83,103,80.6,33,76,43.4,19,10,12,4,3,8,15,53.3,7,10,3,7,6,25,23,0,0.5,0.5,-0.9,-0.9,0.4,0.3,+0.5,+0.5,+0.6,0.07,7,0.14,0.25,4,57.1,17.0,0,0.1,0.04,-0.9,401,70,179,155,71,11,401,201,994,480,10,4,3,12,8,204,14,Match Report
2,Nott'ham Forest,2023-05-20,Arsenal,eng Premier League,W 1-0,1,0,+1,19,1,0,0,0,84,183,45.9,4,10,0,0,10,1780,1146,35,50,70.0,21,39,53.8,20,70,28.6,18,12,13,2,3,7,12,58.3,5,12,1,11,12,30,24,0,0.6,0.6,-0.1,-0.1,0.3,0.2,+0.4,+0.4,-0.3,0.09,6,0.17,0.50,2,33.3,13.5,0,0.2,0.07,+0.2,297,67,157,79,63,13,297,123,732,326,7,3,2,13,4,83,10,Match Report
3,Nott'ham Forest,2023-05-13,Chelsea,eng Premier League,D 2-2,2,2,0,25,2,0,0,0,147,249,59.0,7,11,2,1,15,2667,1299,60,79,75.9,64,88,72.7,19,66,28.8,28,15,19,6,3,12,27,44.4,15,8,4,4,17,45,26,0,1.3,1.3,+0.1,+0.1,1.1,0.8,+0.7,+0.7,+0.9,0.12,11,0.18,1.00,2,18.2,11.2,0,1.7,0.28,-0.3,369,70,184,121,68,13,369,140,946,472,2,4,1,7,5,147,15,Match Report
4,Nott'ham Forest,2023-05-08,Southampton,eng Premier League,W 4-3,4,3,+1,36,3,1,1,0,226,333,67.9,5,15,5,0,24,3772,1818,123,145,84.8,77,105,73.3,21,55,38.2,20,8,12,6,2,5,16,31.3,11,14,5,9,12,32,22,0,1.8,1.0,-1.3,-1.4,0.7,0.9,+2.2,+2.0,+2.3,0.13,8,0.38,1.00,3,37.5,16.0,0,2.5,0.37,-0.5,438,64,174,166,102,25,437,176,854,538,11,9,4,17,5,223,23,Match Report
5,Nott'ham Forest,2023-04-29,Brentford,eng Premier League,L 1-2,1,2,-1,32,1,0,0,0,186,288,64.6,3,11,4,1,22,3462,1623,82,104,78.8,78,108,72.2,23,64,35.9,21,13,15,5,1,14,21,66.7,7,9,3,6,7,28,44,0,0.7,0.7,-0.9,-0.9,0.1,0.2,+0.3,+0.3,-0.1,0.14,5,0.20,0.33,3,60.0,16.6,0,1.8,0.24,-0.2,400,80,190,163,54,7,400,137,701,376,4,4,0,13,7,184,22,Match Report
6,Nott'ham Forest,2023-04-26,Brighton,eng Premier League,W 3-1,3,1,+2,26,1,1,2,1,170,260,65.4,9,16,4,0,18,2962,1531,80,96,83.3,66,90,73.3,16,51,31.4,18,11,11,6,1,5,17,29.4,12,17,4,13,14,32,20,1,2.4,0.8,+0.1,-1.5,0.7,0.5,-0.4,+0.2,+0.3,0.09,10,0.10,0.33,3,30.0,18.4,0,2.3,0.35,+1.3,384,66,192,125,72,21,382,187,890,483,11,4,6,10,6,170,18,Match Report
7,Nott'ham Forest,2023-04-22,Liverpool,eng Premier League,L 2-3,2,3,-1,20,2,0,0,0,93,181,51.4,6,8,4,1,9,2256,1589,37,59,62.7,26,38,68.4,27,67,40.3,15,11,9,4,2,8,16,50.0,8,14,6,8,12,27,29,0,0.9,0.9,-2.0,-2.0,0.6,0.4,+1.1,+1.1,+0.4,0.08,11,0.18,0.40,5,45.5,17.4,0,2.2,0.45,-0.8,299,80,156,78,72,23,299,112,622,303,7,6,1,11,6,88,9,Match Report
8,Nott'ham Forest,2023-04-16,Manchester Utd,eng Premier League,L 0-2,0,2,-2,32,0,0,0,0,200,314,63.7,4,12,3,1,14,3949,1924,80,99,80.8,87,120,72.5,32,75,42.7,20,11,13,5,2,9,21,42.9,12,25,5,20,11,31,27,0,0.7,0.7,-2.7,-2.7,0.5,1.1,-0.7,-0.7,-0.5,0.12,6,0.00,,0,0.0,16.0,0,3.0,0.53,+1.0,444,77,203,165,83,14,444,190,1128,525,12,11,1,12,5,198,13,Match Report
9,Nott'ham Forest,2023-04-08,Aston Villa,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,171,280,61.1,3,12,2,1,17,3322,1681,72,99,72.7,76,101,75.2,22,55,40.0,17,11,9,6,2,10,19,52.6,9,7,1,6,5,22,12,1,0.2,0.2,-1.1,-1.1,0.2,0.1,-0.2,-0.2,-0.2,0.04,6,0.00,0.00,2,33.3,22.0,0,2.0,0.66,0.0,354,41,119,167,73,13,354,151,846,508,11,5,3,4,3,168,16,Match Report
10,Nott'ham Forest,2023-04-04,Leeds United,eng Premier League,L 1-2,1,2,-1,39,1,0,0,0,218,344,63.4,6,12,4,0,22,3902,1841,90,118,76.3,105,140,75.0,19,58,32.8,18,5,11,6,1,11,26,42.3,15,27,9,18,8,26,33,0,0.8,0.8,-1.0,-1.0,0.4,0.6,+0.2,+0.2,+0.6,0.06,13,0.08,1.00,1,7.7,16.5,0,1.5,0.26,-0.5,491,72,225,187,89,20,491,196,1102,614,7,6,2,16,7,214,21,Match Report
