Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Southampton,2023-05-28,Liverpool,eng Premier League,D 4-4,4,4,0,31,4,0,0,0,225,303,74.3,9,15,3,0,14,3669,1492,113,131,86.3,80,102,78.4,20,49,40.8,21,15,11,9,1,8,18,44.4,10,20,11,9,17,38,35,2,1.8,1.8,-2.2,-2.2,1.0,0.7,+2.2,+2.2,+2.0,0.12,15,0.27,0.40,10,66.7,17.5,1,3.4,0.42,-0.6,465,108,244,156,74,16,465,199,1273,715,21,9,6,13,7,225,14,Match Report
2,Southampton,2023-05-21,Brighton,eng Premier League,L 1-3,1,3,-2,37,1,0,0,0,316,398,79.4,3,10,1,0,11,5130,1626,145,159,91.2,138,156,88.5,21,61,34.4,16,10,10,6,0,7,19,36.8,12,12,7,5,14,30,19,1,0.6,0.6,-1.9,-1.9,0.4,0.4,+0.4,+0.4,+0.6,0.12,5,0.20,1.00,1,20.0,13.8,1,2.0,0.25,-1.0,499,110,255,160,76,5,499,252,1452,675,16,9,1,12,7,315,11,Match Report
3,Southampton,2023-05-13,Fulham,eng Premier League,L 0-2,0,2,-2,36,0,0,0,0,294,384,76.6,3,22,6,3,23,4865,1770,152,181,84.0,122,140,87.1,17,42,40.5,16,9,12,2,2,6,16,37.5,10,17,5,12,9,25,26,0,0.4,0.4,-1.0,-1.0,0.3,0.4,-0.4,-0.4,-0.3,0.07,5,0.00,0.00,1,20.0,24.2,0,1.4,0.48,-0.6,475,71,157,224,100,11,475,224,1421,688,17,8,2,7,5,291,23,Match Report
4,Southampton,2023-05-08,Nott'ham Forest,eng Premier League,L 3-4,3,4,-1,64,2,1,1,0,477,585,81.5,17,33,10,1,55,8305,2857,205,229,89.5,230,258,89.1,34,68,50.0,6,4,4,2,0,1,6,16.7,5,12,2,10,9,15,13,0,3.1,2.4,+1.3,+1.4,2.4,1.4,-0.1,-0.4,-0.4,0.14,18,0.11,0.50,4,22.2,14.0,0,1.4,0.15,-2.6,688,48,159,255,166,37,687,429,2284,1157,22,7,9,14,15,469,55,Match Report
5,Southampton,2023-04-30,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,37,1,0,0,0,226,332,68.1,2,7,4,0,8,3523,1418,134,160,83.8,64,84,76.2,20,66,30.3,23,16,15,8,0,10,26,38.5,16,19,7,12,8,31,37,1,0.8,0.8,-3.5,-3.5,0.7,0.6,+0.2,+0.2,+0.3,0.21,4,0.25,0.33,3,75.0,17.3,0,2.2,0.45,+0.2,485,107,236,190,68,13,485,227,1409,793,23,11,5,16,6,226,8,Match Report
6,Southampton,2023-04-27,Bournemouth,eng Premier League,L 0-1,0,1,-1,57,0,0,0,0,442,557,79.4,7,31,9,3,49,7857,2722,181,207,87.4,206,233,88.4,46,88,52.3,19,15,8,7,4,9,26,34.6,17,17,9,8,13,32,20,0,0.5,0.5,-0.4,-0.4,0.3,0.6,-0.5,-0.5,-0.3,0.05,11,0.00,0.00,2,18.2,19.9,0,0.5,0.25,-0.5,678,84,233,255,157,19,678,406,1666,857,19,12,3,15,13,439,49,Match Report
7,Southampton,2023-04-21,Arsenal,eng Premier League,D 3-3,3,3,0,26,3,0,0,0,162,257,63.0,4,12,3,1,8,3043,1332,81,101,80.2,57,71,80.3,21,74,28.4,22,15,20,2,0,12,23,52.2,11,19,9,10,15,37,44,0,1.3,1.3,-1.2,-1.2,1.1,0.5,+1.7,+1.7,+0.9,0.17,8,0.38,0.50,6,75.0,12.4,0,1.2,0.24,-1.8,405,119,223,127,58,10,405,165,979,463,8,9,1,10,11,161,8,Match Report
8,Southampton,2023-04-15,Crystal Palace,eng Premier League,L 0-2,0,2,-2,58,0,0,0,0,440,540,81.5,8,27,6,2,46,7360,2596,229,260,88.1,173,199,86.9,35,59,59.3,15,7,5,10,0,7,20,35.0,13,12,4,8,16,31,7,0,0.8,0.8,-0.1,-0.1,0.6,0.6,-0.8,-0.8,-0.6,0.07,11,0.00,0.00,4,36.4,18.0,0,1.2,0.58,-0.8,638,50,181,255,135,21,638,371,2336,1325,15,14,4,16,14,435,46,Match Report
9,Southampton,2023-04-08,Manchester City,eng Premier League,L 1-4,1,4,-3,27,1,0,0,0,220,293,75.1,4,15,2,0,14,3961,1294,96,106,90.6,104,119,87.4,16,53,30.2,11,9,8,3,0,4,12,33.3,8,16,3,13,8,19,24,0,0.4,0.4,-2.5,-1.7,0.4,0.3,+0.6,+0.6,+0.6,0.10,4,0.25,1.00,1,25.0,17.0,0,2.7,0.24,-1.3,399,94,234,118,51,6,399,196,1128,452,10,8,3,13,3,217,13,Match Report
10,Southampton,2023-04-02,West Ham,eng Premier League,L 0-1,0,1,-1,57,0,0,0,0,491,593,82.8,4,32,7,2,43,8125,3168,232,263,88.2,211,233,90.6,33,59,55.9,26,15,10,14,2,9,16,56.3,7,12,2,10,14,40,24,0,0.3,0.3,-1.1,-1.1,0.2,0.3,-0.3,-0.3,-0.2,0.03,9,0.00,0.00,3,33.3,21.1,0,0.4,0.20,-0.6,755,82,255,255,129,17,755,502,2431,1298,19,22,3,30,13,488,42,Match Report
11,Southampton,2023-03-18,Tottenham,eng Premier League,D 3-3,3,3,0,51,2,1,1,0,412,498,82.7,15,36,10,2,44,6628,2163,208,226,92.0,171,192,89.1,25,58,43.1,13,10,4,8,1,4,14,28.6,10,11,5,6,8,21,19,0,2.4,1.6,+0.1,-0.6,1.6,1.3,+0.6,+0.4,+0.4,0.10,18,0.11,0.33,6,33.3,19.6,1,1.6,0.53,-1.4,606,48,148,255,203,29,605,336,1848,1024,24,18,7,9,11,410,44,Match Report
12,Southampton,2023-03-15,Brentford,eng Premier League,L 0-2,0,2,-2,66,0,0,0,0,492,621,79.2,4,39,10,4,51,8014,2642,253,284,89.1,186,211,88.2,40,88,45.5,16,6,8,6,2,7,17,41.2,10,20,4,16,3,19,13,0,0.5,0.5,-1.4,-1.4,0.2,0.5,-0.5,-0.5,-0.2,0.07,7,0.00,,0,0.0,19.2,1,1.9,0.48,-0.1,713,70,198,255,169,21,713,472,2212,1219,25,15,3,12,14,488,51,Match Report
13,Southampton,2023-03-12,Manchester Utd,eng Premier League,D 0-0,0,0,0,53,0,0,0,0,396,491,80.7,13,31,9,2,41,6211,2192,205,230,89.1,155,175,88.6,22,50,44.0,15,10,10,5,0,8,19,42.1,11,13,3,10,15,30,20,0,1.0,1.0,+0.2,+0.2,0.9,1.1,-1.0,-1.0,-0.9,0.07,17,0.00,0.00,4,23.5,21.2,2,0.5,0.12,+0.5,619,52,151,255,161,24,619,384,1896,1096,20,16,6,15,12,393,41,Match Report
14,Southampton,2023-03-04,Leicester City,eng Premier League,W 1-0,1,0,+1,35,1,0,1,1,247,367,67.3,6,17,2,1,24,3995,1687,135,171,78.9,78,101,77.2,22,66,33.3,21,9,10,7,4,12,21,57.1,9,25,3,22,16,37,20,1,1.4,0.6,-0.6,-1.3,0.5,0.5,-0.4,+0.4,+0.5,0.06,10,0.10,0.25,4,40.0,23.6,1,0.0,,0.0,509,68,201,220,93,11,508,265,1324,531,10,11,3,16,15,245,24,Match Report
15,Southampton,2023-02-25,Leeds United,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,285,376,75.8,8,19,3,1,20,4564,1854,152,176,86.4,100,122,82.0,21,50,42.0,27,15,14,11,2,14,21,66.7,7,12,3,9,11,38,32,0,0.4,0.4,-0.5,-0.5,0.4,0.2,-0.4,-0.4,-0.4,0.05,8,0.00,0.00,2,25.0,18.8,0,0.2,0.05,-0.8,527,87,232,226,77,8,527,256,1391,653,10,8,2,19,10,284,20,Match Report
16,Southampton,2023-02-18,Chelsea,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,261,351,74.4,4,14,2,2,17,4748,1813,113,124,91.1,117,131,89.3,23,71,32.4,31,22,18,11,2,19,36,52.8,17,16,8,8,13,44,29,0,0.6,0.6,-1.0,-1.0,0.3,0.6,+0.4,+0.4,-0.3,0.08,8,0.13,0.25,4,50.0,19.7,1,0.7,0.18,+0.7,493,88,202,207,90,10,493,263,1308,527,10,8,2,17,9,260,17,Match Report
17,Southampton,2023-02-11,Wolves,eng Premier League,L 1-2,1,2,-1,41,1,0,0,0,254,375,67.7,11,33,6,2,36,5036,2348,112,145,77.2,92,125,73.6,44,77,57.1,16,11,5,9,2,7,20,35.0,13,13,7,6,10,26,17,0,1.1,1.1,+0.3,+0.3,0.6,0.7,-0.1,-0.1,-0.6,0.07,17,0.06,0.50,2,11.8,17.7,0,0.3,0.31,-0.7,503,31,109,204,196,31,503,235,1257,503,9,11,2,16,11,253,35,Match Report
18,Southampton,2023-02-04,Brentford,eng Premier League,L 0-3,0,3,-3,51,0,0,0,0,339,465,72.9,11,37,6,2,23,5504,2075,175,215,81.4,117,146,80.1,32,71,45.1,15,10,7,6,2,3,6,50.0,3,9,5,4,18,33,29,0,0.7,0.7,-1.5,-1.5,0.4,0.2,-0.7,-0.7,-0.4,0.05,14,0.00,0.00,5,35.7,23.5,0,2.2,0.73,-0.8,592,67,187,255,122,15,592,320,1441,695,13,20,0,15,9,335,22,Match Report
19,Southampton,2023-01-21,Aston Villa,eng Premier League,L 0-1,0,1,-1,37,0,0,0,0,247,356,69.4,7,21,5,2,17,4553,1937,120,146,82.2,81,107,75.7,38,81,46.9,25,11,13,11,1,7,12,58.3,5,17,3,14,12,37,23,0,0.6,0.6,-0.8,-0.8,0.6,0.6,-0.6,-0.6,-0.6,0.07,8,0.00,0.00,5,62.5,15.8,0,0.3,0.07,-0.7,483,57,189,200,98,13,483,276,1305,548,7,12,3,15,9,243,16,Match Report
20,Southampton,2023-01-14,Everton,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,280,404,69.3,9,13,7,0,25,4913,2044,125,157,79.6,113,141,80.1,28,72,38.9,18,12,11,5,2,8,15,53.3,7,9,3,6,5,23,33,0,1.2,1.2,-0.2,-0.2,1.0,0.6,+0.8,+0.8,0.0,0.09,13,0.15,0.40,5,38.5,20.7,2,0.7,0.17,-0.3,522,68,220,199,107,25,522,285,1696,723,10,12,3,19,6,280,25,Match Report
21,Southampton,2023-01-04,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,63,0,0,0,0,400,526,76.0,6,35,8,2,43,6491,2387,213,236,90.3,138,173,79.8,34,80,42.5,14,7,5,8,1,5,8,62.5,3,6,1,5,9,23,18,2,0.5,0.5,-0.9,-0.9,0.4,0.6,-0.5,-0.5,-0.4,0.06,8,0.00,,0,0.0,14.5,1,0.5,0.54,-0.5,628,46,181,255,183,14,628,389,2208,1092,20,15,2,18,20,395,41,Match Report
