Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
11,Sheffield Utd,2020-03-07,Norwich City,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,295,420,70.2,6,28,11,2,35,5572,2203,140,170,82.4,101,133,75.9,44,95,46.3,14,10,2,8,4,1,11,9.1,10,13,4,9,13,27,33,0,0.9,0.9,-1.5,-1.5,0.7,0.9,+0.1,+0.1,+0.3,0.10,10,0.10,0.33,3,30.0,13.2,0,1.1,0.44,+1.1,545,59,141,199,210,31,545,204,1098,600,14,10,5,9,10,291,34,Match Report
12,Sheffield Utd,2020-02-22,Brighton,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,471,632,74.5,10,32,11,5,56,8668,2578,205,227,90.3,179,226,79.2,71,126,56.3,15,10,6,5,4,6,15,40.0,9,8,3,5,8,23,7,1,1.6,1.6,+0.5,+0.5,1.5,1.3,-0.6,-0.6,-1.5,0.13,13,0.08,0.33,3,23.1,13.8,0,1.2,0.61,+0.2,748,29,115,255,255,34,748,342,1552,815,20,15,2,24,9,467,56,Match Report
13,Sheffield Utd,2020-02-09,Bournemouth,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,364,527,69.1,10,33,14,3,35,7514,2676,125,163,76.7,166,213,77.9,56,106,52.8,17,5,9,5,3,8,13,61.5,5,8,1,7,7,24,17,1,1.9,1.9,+0.5,+0.5,1.2,1.2,+0.1,+0.1,-0.2,0.13,16,0.13,0.40,5,31.3,11.3,1,0.9,0.43,-0.1,636,51,159,255,210,39,636,249,1241,630,15,11,6,14,7,362,34,Match Report
14,Sheffield Utd,2020-02-01,Crystal Palace,eng Premier League,W 1-0,1,0,+1,39,0,0,0,0,257,373,68.9,7,25,5,2,39,4759,2033,126,152,82.9,93,121,76.9,34,83,41.0,20,9,8,9,3,8,13,61.5,5,11,5,6,13,33,30,0,0.7,0.7,0.0,0.0,0.5,0.3,-0.7,-0.7,-0.5,0.07,10,0.00,0.00,3,30.0,18.8,1,0.4,0.13,+0.4,504,62,170,185,153,16,504,183,1090,632,12,9,4,18,9,253,38,Match Report
15,Sheffield Utd,2020-01-21,Manchester City,eng Premier League,L 0-1,0,1,-1,34,0,0,0,0,207,331,62.5,3,20,8,1,22,3829,1751,118,143,82.5,52,74,70.3,32,84,38.1,13,9,12,1,0,5,15,33.3,10,10,4,6,10,23,26,0,0.8,0.8,-2.1,-1.3,0.6,0.6,-0.8,-0.8,-0.6,0.19,4,0.00,0.00,1,25.0,11.6,0,2.4,0.30,+1.4,427,71,154,158,119,15,427,161,801,355,6,6,3,9,6,205,21,Match Report
16,Sheffield Utd,2020-01-18,Arsenal,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,271,396,68.4,6,32,6,3,29,5360,2276,125,152,82.2,104,137,75.9,39,82,47.6,20,12,7,9,4,12,24,50.0,12,8,2,6,18,38,18,0,0.8,0.8,-0.6,-0.6,0.5,0.7,+0.2,+0.2,-0.5,0.07,12,0.08,0.33,3,25.0,15.2,0,1.7,0.43,+0.7,502,49,139,248,125,24,502,211,1187,590,12,11,4,13,7,266,27,Match Report
17,Sheffield Utd,2020-01-10,West Ham,eng Premier League,W 1-0,1,0,+1,47,1,0,0,0,335,491,68.2,10,32,6,3,36,5583,2218,168,204,82.4,99,135,73.3,43,93,46.2,19,14,8,8,3,10,28,35.7,18,4,0,4,8,27,15,2,1.4,1.4,+0.7,+0.7,1.2,0.9,-0.4,-0.4,-0.2,0.11,13,0.08,0.33,3,23.1,15.0,0,0.3,0.15,+0.3,581,40,141,255,146,16,581,211,1205,673,17,7,5,7,10,328,34,Match Report
18,Sheffield Utd,2020-01-02,Liverpool,eng Premier League,L 0-2,0,2,-2,26,0,0,0,0,255,355,71.8,2,14,6,0,23,4110,1493,142,160,88.8,91,117,77.8,17,65,26.2,14,9,6,8,0,5,13,38.5,8,9,6,3,12,26,32,2,0.6,0.6,-2.2,-2.2,0.6,0.8,-0.6,-0.6,-0.6,0.21,3,0.00,0.00,2,66.7,13.9,0,2.1,0.39,+0.1,447,76,172,195,83,9,447,175,857,417,6,4,0,12,5,252,22,Match Report
19,Sheffield Utd,2019-12-29,Manchester City,eng Premier League,L 0-2,0,2,-2,28,0,0,0,0,250,349,71.6,7,28,7,3,26,4809,2142,117,141,83.0,94,115,81.7,33,69,47.8,16,10,8,6,2,7,13,53.8,6,12,6,6,12,28,26,0,1.1,1.1,-0.1,-0.1,1.0,0.8,-1.1,-1.1,-1.0,0.13,8,0.00,,0,0.0,13.8,0,1.2,0.30,-0.8,457,72,171,163,128,13,457,193,1011,534,11,7,2,8,6,249,26,Match Report
20,Sheffield Utd,2019-12-26,Watford,eng Premier League,D 1-1,1,1,0,58,0,1,1,0,428,579,73.9,12,37,8,3,55,8075,2837,192,225,85.3,171,205,83.4,60,116,51.7,18,8,13,5,0,10,16,62.5,6,9,1,8,4,22,10,0,2.4,1.6,+1.8,+1.0,1.4,1.3,-1.4,-1.6,-1.4,0.11,15,0.00,0.00,3,20.0,15.7,0,0.7,0.37,-0.3,685,34,181,255,191,26,684,288,1545,744,12,9,4,25,6,421,55,Match Report
21,Sheffield Utd,2019-12-21,Brighton,eng Premier League,W 1-0,1,0,+1,31,1,0,0,0,205,326,62.9,5,17,3,1,20,3440,1568,120,136,88.2,53,81,65.4,27,86,31.4,22,13,12,10,0,11,21,52.4,10,8,3,5,9,31,23,0,1.3,1.3,+0.8,+0.8,0.5,0.5,-0.3,-0.3,-0.5,0.18,7,0.14,0.50,2,28.6,13.1,0,0.3,0.16,+0.3,437,65,179,175,88,12,437,142,718,293,7,4,3,21,4,199,18,Match Report
22,Sheffield Utd,2019-12-14,Aston Villa,eng Premier League,W 2-0,2,0,+2,56,2,0,0,0,426,577,73.8,5,46,16,3,67,8174,3189,204,241,84.6,162,207,78.3,54,102,52.9,12,7,5,4,3,1,4,25.0,3,6,1,5,11,23,18,0,1.7,1.7,+0.6,+1.4,1.5,1.1,+0.3,+0.3,+0.5,0.24,7,0.29,0.67,3,42.9,11.1,0,0.0,,0.0,681,42,140,255,238,34,681,283,1644,859,20,12,4,16,5,420,66,Match Report
23,Sheffield Utd,2019-12-08,Norwich City,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,319,467,68.3,7,30,8,2,43,6018,2498,146,175,83.4,119,153,77.8,47,108,43.5,17,11,9,5,3,6,18,33.3,12,16,5,11,13,30,26,0,0.8,0.8,+0.1,+0.1,0.6,0.4,+1.2,+1.2,+0.4,0.08,9,0.22,0.67,3,33.3,18.2,0,0.5,0.11,-0.5,589,68,183,255,148,18,589,254,1378,662,16,9,6,11,13,316,43,Match Report
24,Sheffield Utd,2019-12-05,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,73,0,0,0,0,623,760,82.0,10,61,18,6,72,11285,3183,279,320,87.2,276,304,90.8,62,111,55.9,18,15,10,5,3,7,14,50.0,7,6,1,5,2,20,15,0,1.1,1.1,+0.6,+0.6,0.8,1.1,-1.1,-1.1,-0.8,0.09,13,0.00,0.00,6,46.2,15.1,1,1.3,0.33,-0.7,852,41,140,255,255,29,852,514,2811,1412,15,13,2,15,9,622,72,Match Report
25,Sheffield Utd,2019-12-01,Wolves,eng Premier League,D 1-1,1,1,0,41,1,0,0,0,295,405,72.8,8,29,11,5,37,5370,2223,139,162,85.8,110,140,78.6,39,81,48.1,19,14,6,11,2,8,24,33.3,16,9,6,3,17,36,37,0,1.5,1.5,+0.2,+0.2,1.4,1.0,-0.5,-0.5,-0.4,0.15,10,0.10,0.25,4,40.0,13.6,0,1.2,0.40,+0.2,543,72,179,210,156,21,543,222,1193,602,17,10,5,14,8,295,37,Match Report
26,Sheffield Utd,2019-11-24,Manchester Utd,eng Premier League,D 3-3,3,3,0,41,3,0,0,0,298,438,68.0,8,26,5,2,44,4876,1776,157,180,87.2,98,129,76.0,30,83,36.1,13,9,5,7,1,9,18,50.0,9,8,2,6,16,29,21,1,1.3,1.3,0.0,0.0,0.9,0.7,+1.7,+1.7,+1.1,0.13,12,0.25,0.38,8,66.7,18.0,0,2.6,0.52,-0.4,548,45,153,227,171,15,548,220,1019,466,9,13,1,10,6,298,44,Match Report
