Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Tottenham,2020-07-26,Crystal Palace,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,427,527,81.0,4,27,4,1,29,7160,2562,222,247,89.9,154,185,83.2,38,66,57.6,26,21,14,9,3,8,16,50.0,8,11,2,9,22,48,18,1,0.3,0.3,-0.5,-0.5,0.2,0.2,+0.7,+0.7,+0.8,0.04,7,0.14,0.50,2,28.6,19.7,0,0.4,0.18,-0.6,658,64,197,255,119,8,658,449,1809,962,14,17,1,17,13,426,29,Match Report
2,Tottenham,2020-07-19,Leicester City,eng Premier League,W 3-0,3,0,+3,30,2,0,0,0,222,318,69.8,7,11,3,1,16,4075,1606,96,115,83.5,78,99,78.8,32,66,48.5,17,12,8,9,0,5,12,41.7,7,14,9,5,7,24,31,1,0.8,0.8,-0.9,-0.9,0.8,0.6,+1.2,+1.2,+1.2,0.11,7,0.29,0.67,3,42.9,17.4,0,1.0,0.17,+1.0,428,82,184,190,57,7,428,246,1283,639,16,10,3,10,5,221,16,Match Report
3,Tottenham,2020-07-15,Newcastle Utd,eng Premier League,W 3-1,3,1,+2,48,3,0,0,0,417,492,84.8,6,33,6,1,31,6929,2579,199,213,93.4,150,178,84.3,40,63,63.5,14,5,6,6,2,2,18,11.1,16,9,6,3,5,19,22,1,1.5,1.5,+0.4,+0.4,1.2,0.8,+1.5,+1.5,+0.8,0.24,8,0.38,0.60,5,62.5,15.6,0,1.7,0.28,+0.7,583,56,158,255,140,14,583,402,2019,898,18,12,2,14,10,412,31,Match Report
4,Tottenham,2020-07-12,Arsenal,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,324,412,78.6,14,23,4,0,25,6141,2201,141,157,89.8,132,157,84.1,45,80,56.3,22,13,11,8,3,3,18,16.7,15,9,3,6,5,27,22,0,2.0,2.0,+1.4,+1.4,1.7,0.7,0.0,0.0,-0.7,0.14,15,0.13,0.22,9,60.0,18.5,0,0.9,0.22,-0.1,509,64,158,255,99,15,509,298,1646,818,16,13,5,10,6,323,25,Match Report
5,Tottenham,2020-07-09,Bournemouth,eng Premier League,D 0-0,0,0,0,63,0,0,0,0,430,547,78.6,4,29,12,2,44,8136,2571,176,207,85.0,181,206,87.9,57,98,58.2,21,16,13,6,2,7,13,53.8,6,18,3,15,12,33,39,0,0.5,0.5,-0.9,-0.9,0.2,0.6,-0.5,-0.5,-0.2,0.06,9,0.00,,0,0.0,18.4,1,0.8,0.38,+0.8,684,64,225,255,189,23,684,328,1815,962,19,19,5,14,8,427,44,Match Report
6,Tottenham,2020-07-06,Everton,eng Premier League,W 1-0,1,0,+1,52,0,0,0,0,395,494,80.0,6,26,5,1,31,7072,2285,177,194,91.2,177,203,87.2,35,72,48.6,13,7,3,8,2,0,7,0.0,7,11,4,7,7,20,26,0,0.5,0.5,0.0,0.0,0.2,0.4,-0.5,-0.5,-0.2,0.04,12,0.00,0.00,2,16.7,23.0,2,0.2,0.08,+0.2,595,56,184,255,146,12,595,405,1988,923,13,13,3,16,6,393,31,Match Report
7,Tottenham,2020-07-02,Sheffield Utd,eng Premier League,L 1-3,1,3,-2,67,1,0,0,0,573,693,82.7,7,33,8,1,43,10228,3122,249,279,89.2,255,287,88.9,53,89,59.6,14,11,9,5,0,5,13,38.5,8,5,0,5,15,29,9,0,1.1,1.1,-0.5,-0.5,1.0,1.3,-0.1,-0.1,0.0,0.12,9,0.11,0.50,2,22.2,15.8,2,2.7,0.53,-0.3,780,50,229,255,203,29,780,562,3031,1769,41,28,10,23,15,572,43,Match Report
8,Tottenham,2020-06-23,West Ham,eng Premier League,W 2-0,2,0,+2,64,1,0,0,0,589,700,84.1,12,51,12,2,47,9538,3171,288,318,90.6,242,271,89.3,39,68,57.4,9,4,5,4,0,5,14,35.7,9,8,1,7,8,17,12,0,2.3,2.3,+1.1,+1.1,1.0,0.8,-1.3,-1.3,0.0,0.15,15,0.07,0.25,4,26.7,18.2,0,1.4,0.69,+1.4,792,45,191,255,191,23,792,584,2899,1592,36,23,6,10,13,583,47,Match Report
9,Tottenham,2020-06-19,Manchester Utd,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,295,408,72.3,6,21,5,1,29,5138,2163,129,152,84.9,110,146,75.3,36,75,48.0,14,9,8,5,1,5,19,26.3,14,8,2,6,12,26,31,1,0.4,0.4,-1.3,-0.5,0.2,0.2,+0.6,+0.6,+0.8,0.04,10,0.10,0.33,3,30.0,21.8,2,1.6,0.10,+0.6,526,67,207,215,112,11,526,285,1358,584,10,6,1,16,5,288,29,Match Report
10,Tottenham,2020-03-07,Burnley,eng Premier League,D 1-1,1,1,0,54,0,1,1,0,380,525,72.4,8,23,7,0,37,6311,2322,188,218,86.2,137,175,78.3,36,92,39.1,14,8,9,3,2,5,17,29.4,12,12,10,2,8,22,36,1,1.2,0.4,-1.8,-2.6,0.3,0.4,-0.2,-0.4,-0.3,0.03,12,0.00,0.00,1,8.3,24.9,0,2.5,0.36,+1.5,646,89,225,255,139,14,645,374,1806,1043,19,20,3,7,16,378,37,Match Report
