Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Chelsea,2020-07-26,Wolves,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,551,673,81.9,8,35,7,1,39,9729,3466,221,255,86.7,252,276,91.3,54,93,58.1,30,19,11,16,3,15,23,65.2,8,9,3,6,8,38,14,0,1.4,1.4,+1.3,+1.3,1.2,0.8,+0.6,+0.6,-0.2,0.13,11,0.18,0.67,3,27.3,16.1,1,0.0,0.04,0.0,793,65,247,255,151,19,793,501,2303,1093,17,21,1,21,15,549,39,Match Report
2,Chelsea,2020-07-22,Liverpool,eng Premier League,L 3-5,3,5,-2,50,3,0,0,0,504,619,81.4,8,36,6,3,43,9447,2979,221,240,92.1,203,250,81.2,75,108,69.4,9,4,4,3,2,1,15,6.7,14,11,1,10,7,16,16,0,2.4,2.4,+0.7,+0.7,1.8,1.2,+0.6,+0.6,+0.2,0.28,10,0.30,0.60,5,50.0,12.3,0,2.1,0.29,-2.9,721,74,255,255,126,14,721,518,2222,1065,16,13,2,18,11,504,43,Match Report
3,Chelsea,2020-07-14,Norwich City,eng Premier League,W 1-0,1,0,+1,67,1,0,0,0,725,826,87.8,17,78,18,9,96,14232,4193,242,268,90.3,373,402,92.8,92,116,79.3,8,7,1,3,4,2,14,14.3,12,10,2,8,16,24,7,0,2.5,2.5,+2.4,+2.4,2.0,2.5,-1.5,-1.5,-1.0,0.11,22,0.05,0.17,6,27.3,12.8,1,0.0,,0.0,920,39,171,255,255,45,920,698,3359,1724,25,20,10,12,9,719,95,Match Report
4,Chelsea,2020-07-11,Sheffield Utd,eng Premier League,L 0-3,0,3,-3,76,0,0,0,0,757,881,85.9,13,48,12,5,54,13609,3363,308,338,91.1,364,397,91.7,68,114,59.6,8,7,4,4,0,3,12,25.0,9,4,2,2,14,22,11,1,1.2,1.2,-1.2,-1.2,1.0,0.8,-1.2,-1.2,-1.0,0.08,15,0.00,0.00,4,26.7,15.6,1,2.1,0.52,-0.9,956,62,255,255,217,19,956,610,2973,1714,28,20,1,12,5,754,54,Match Report
5,Chelsea,2020-07-07,Crystal Palace,eng Premier League,W 3-2,3,2,+1,57,3,0,0,0,481,587,81.9,12,29,6,2,34,8635,2939,207,234,88.5,204,223,91.5,55,87,63.2,21,10,9,10,2,6,13,46.2,7,15,5,10,19,40,26,1,1.9,1.9,+0.4,+0.4,1.8,1.1,+1.1,+1.1,+1.2,0.14,14,0.21,0.50,6,42.9,16.0,1,1.5,0.36,-0.5,721,72,252,255,139,25,721,325,2004,1056,22,21,5,14,10,480,34,Match Report
6,Chelsea,2020-07-04,Watford,eng Premier League,W 3-0,3,0,+3,70,2,1,1,0,686,772,88.9,10,58,13,3,62,11280,3072,329,363,90.6,286,301,95.0,49,68,72.1,13,8,6,6,1,3,9,33.3,6,9,0,9,11,24,19,1,2.5,1.7,+1.9,+1.1,0.9,1.4,+0.5,+0.3,+1.1,0.09,20,0.10,0.25,8,40.0,19.5,4,0.6,0.20,+0.6,882,56,211,255,220,31,881,575,2997,1596,27,19,9,14,18,683,62,Match Report
7,Chelsea,2020-07-01,West Ham,eng Premier League,L 2-3,2,3,-1,71,1,1,1,0,613,712,86.1,13,56,14,7,63,9792,3088,298,325,91.7,266,296,89.9,31,51,60.8,19,11,10,7,2,13,17,76.5,4,8,4,4,5,24,10,0,1.6,0.8,-0.6,-1.4,0.7,0.9,+0.4,+0.2,-0.7,0.05,16,0.06,0.20,5,31.3,18.2,1,2.7,0.68,-0.3,814,46,180,255,245,39,813,567,3554,1950,40,26,7,11,8,606,61,Match Report
8,Chelsea,2020-06-25,Manchester City,eng Premier League,W 2-1,2,1,+1,35,1,1,1,0,332,411,80.8,6,16,3,0,19,5878,2326,154,170,90.6,129,149,86.6,36,60,60.0,13,6,11,2,0,5,15,33.3,10,12,3,9,8,21,20,0,3.2,3.2,+2.4,+2.4,1.2,1.3,-1.2,-2.2,-1.2,0.28,14,0.07,0.17,6,42.9,11.4,0,0.6,0.28,-0.4,498,101,241,179,88,30,497,293,1559,943,19,12,8,7,5,327,19,Match Report
9,Chelsea,2020-06-21,Aston Villa,eng Premier League,W 2-1,2,1,+1,73,2,0,0,0,629,760,82.8,15,66,18,4,94,11951,3501,248,286,86.7,304,341,89.1,69,104,66.3,7,4,2,3,2,1,3,33.3,2,3,1,2,8,15,12,0,1.1,1.1,0.0,0.0,1.0,1.0,+0.9,+0.9,+1.0,0.06,19,0.11,0.40,5,26.3,18.7,0,1.0,0.29,0.0,837,50,183,255,255,35,837,430,2320,1383,25,23,7,8,5,626,94,Match Report
10,Chelsea,2020-03-08,Everton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,598,685,87.3,14,27,12,1,45,10501,3504,259,282,91.8,253,268,94.4,60,92,65.2,13,7,4,7,2,3,14,21.4,11,6,1,5,7,20,13,1,1.8,1.8,+1.3,+1.3,1.7,1.1,+2.2,+2.2,+2.3,0.11,17,0.24,0.36,11,64.7,20.1,1,0.1,0.14,+0.1,777,68,255,255,155,24,777,495,2596,1299,29,14,8,20,8,594,45,Match Report
